"ENRIQ_10_S11_L001"	"ENRIQ_11_S12_L001"	"ENRIQ_12_S13_L001"	"ENRIQ_13_S14_L001"	"ENRIQ_14_S15_L001"	"ENRIQ_15_S16_L001"	"ENRIQ_16_S17_L001"	"ENRIQ_17_S18_L001"	"ENRIQ_18_S19_L001"	"ENRIQ_19_S20_L001"	"ENRIQ_1_S2_L001"	"ENRIQ_20_S21_L001"	"ENRIQ_21_S22_L001"	"ENRIQ_22_S23_L001"	"ENRIQ_23_S24_L001"	"ENRIQ_24_S25_L001"	"ENRIQ_25_S26_L001"	"ENRIQ_26_S27_L001"	"ENRIQ_27_S28_L001"	"ENRIQ_28_S29_L001"	"ENRIQ_29_S30_L001"	"ENRIQ_2_S3_L001"	"ENRIQ_30_S31_L001"	"ENRIQ_31_S32_L001"	"ENRIQ_32_S33_L001"	"ENRIQ_33_S34_L001"	"ENRIQ_34_S35_L001"	"ENRIQ_35_S36_L001"	"ENRIQ_36_S37_L001"	"ENRIQ_3_S4_L001"	"ENRIQ_4_S5_L001"	"ENRIQ_5_S6_L001"	"ENRIQ_6_S7_L001"	"ENRIQ_7_S8_L001"	"ENRIQ_8_S9_L001"	"ENRIQ_9_S10_L001"
"k__Bacteria"	99.76375	99.86369	99.81636	99.80109	99.72559	99.79112	99.82455	99.78523	99.74456	99.81222	99.85436	99.73014	99.77874	99.75447	99.83644	99.87187	99.72902	99.91411	99.68673	99.72133	99.67881	99.91685	99.77184	99.76885	99.69517	99.79363	99.6705	99.67484	99.73203	99.84474	99.88538	99.93852	99.82996	99.87314	99.94697	99.79923
"k__Archaea"	0.23625	0.13631	0.18364	0.19891	0.27441	0.20888	0.17545	0.21477	0.25544	0.18778	0.14564	0.26986	0.22126	0.24553	0.16356	0.12813	0.27098	0.08589	0.31327	0.27867	0.32119	0.08315	0.22816	0.23115	0.30483	0.20637	0.3295	0.32516	0.26797	0.15526	0.11462	0.06148	0.17004	0.12686	0.05303	0.20077
"k__Bacteria|p__Firmicutes"	64.36292	65.04952	65.2377	40.80179	37.06857	37.01604	39.65487	37.92221	40.30619	50.23056	65.5954	47.66141	48.1188	45.78046	48.26575	49.23477	44.96881	40.93709	47.55333	47.00612	44.38649	64.01759	42.78015	53.27342	52.53884	53.93408	53.78791	53.553	56.70693	62.16624	63.82493	65.06791	63.77676	64.15313	64.23762	65.88367
"k__Bacteria|p__Bacteroidetes"	23.35617	22.67695	22.25963	24.19851	19.13545	19.02058	18.34968	22.26651	17.79206	17.72653	21.53117	16.71671	17.79669	20.32824	18.63508	16.12759	23.32468	19.63832	18.2883	18.18748	21.69283	22.95199	20.25577	17.95668	19.5368	18.41273	20.20505	19.8603	17.58969	24.73608	23.25333	23.0893	24.21204	24.44116	23.26087	22.36364
"k__Bacteria|p__Actinobacteria"	10.44635	10.684	10.7784	28.62414	35.44548	35.07945	37.54929	33.47825	36.05853	27.39167	11.58511	31.12817	29.37413	28.74833	29.08159	30.12212	26.5743	33.6552	27.73357	31.19587	27.89743	11.84295	32.46268	25.16389	24.33927	23.58184	22.49531	22.88787	21.87341	11.69381	11.35942	10.50696	10.63551	10.20435	11.15713	10.21955
"k__Bacteria|p__Verrucomicrobia"	1.36562	1.27848	1.34902	1.16106	1.01303	1.08178	0.96143	1.08723	1.18987	0.94341	1.09968	1.0642	0.76961	1.06407	0.99804	1.0088	0.90504	0.638	0.8223	0.88236	0.94758	1.10433	0.88281	0.83945	0.85084	0.94019	0.83095	0.86868	0.8226	1.23693	1.31614	1.21655	1.17483	1.07449	1.29135	1.16937
"k__Archaea|p__Euryarchaeota"	0.23625	0.13631	0.18364	0.19891	0.27441	0.20888	0.17545	0.21477	0.25544	0.18778	0.14564	0.26986	0.22126	0.24553	0.16356	0.12813	0.27098	0.08589	0.31327	0.27867	0.32119	0.08315	0.22816	0.23115	0.30483	0.20637	0.3295	0.32516	0.26797	0.15526	0.11462	0.06148	0.17004	0.12686	0.05303	0.20077
"k__Bacteria|p__Proteobacteria"	0.12852	0.04648	0.08335	4.69018	6.66657	6.98028	2.85423	4.36511	3.85629	3.12039	0.043	2.96162	3.46498	3.52023	2.6291	3.21642	3.89002	5.04549	5.18387	2.24977	4.27625	0	3.31705	2.5354	2.41131	2.92478	2.32496	2.48442	2.65589	0.01167	0	0	0	0	0	0.16301
"k__Bacteria|p__Fusobacteria"	0.10417	0.12826	0.10826	0.3254	0.39648	0.61299	0.45505	0.66592	0.54161	0.39966	0	0.19804	0.25452	0.31313	0.22688	0.16218	0.06616	0	0.10536	0.19973	0.47822	0	0.07337	0	0.01811	0	0.02632	0.02057	0.08351	0	0.13156	0.0578	0.03082	0	0	0
"k__Bacteria|p__Firmicutes|c__Clostridia"	56.43943	57.94798	58.00653	30.97915	27.43354	28.10465	30.10966	29.18235	30.54766	29.45374	58.34097	30.73125	27.64125	28.6148	28.38621	27.52498	33.34188	28.65175	33.90757	30.34766	32.83199	56.8934	31.40454	32.22317	33.62863	32.03021	34.64825	33.33714	34.17113	55.02075	57.12341	58.30424	56.36454	57.78208	57.46194	58.89162
