,Superclass1,Superclass2,pathway,
12DICHLORETHDEG-PWY,Degradation/Utilization/Assimilation,Chlorinated Compound Degradation,"1,2-dichloroethane degradation",
14DICHLORBENZDEG-PWY,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,"1,4-dichlorobenzene degradation",
1CMET2-PWY,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",N10-formyl-tetrahydrofolate biosynthesis,
2AMINOBENZDEG-PWY,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,anthranilate degradation III (anaerobic),
2ASDEG-PWY,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,orthanilate degradation,
2OXOBUTYRATECAT-PWY,Degradation/Utilization/Assimilation,Carboxylate Degradation,2-oxobutanoate degradation II,
2PHENDEG-PWY,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,phenylethylamine degradation I,
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,4-hydroxyphenylacetate degradation,
4-HYDROXYMANDELATE-DEGRADATION-PWY,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,4-hydroxymandelate degradation,
4AMINOBUTMETAB-PWY,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,superpathway of 4-aminobutanoate degradation,
4TOLCARBDEG-PWY,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,4-toluenecarboxylate degradation,
6-HYDROXYCINEOLE-DEGRADATION-PWY,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,"1,8-cineole degradation",
ACETATEUTIL-PWY,Degradation/Utilization/Assimilation,Carboxylate Degradation,superpathway of acetate utilization and formation,
ACETOACETATE-DEG-PWY,Degradation/Utilization/Assimilation,Degradation/Utilization/Assimilation - Other,acetoacetate degradation (to acetyl CoA),
ADENOSYLHOMOCYSCAT-PWY,Biosynthesis,Amino Acid Biosynthesis,L-methionine salvage from L-homocysteine,
AEROBACTINSYN-PWY,Biosynthesis,Secondary Metabolite Biosynthesis,aerobactin biosynthesis,
ALACAT2-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-alanine degradation II (to D-lactate),
ALADEG-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-alanine degradation I,
ALANINE-DEG3-PWY,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-alanine degradation III,
ALANINE-SYN2-PWY,Biosynthesis,Amino Acid Biosynthesis,L-alanine biosynthesis II,
