sequencing,experiement,sample,condition,timepoint,replicate
ENRIQ_37_S38_L001,industry,ENRIQ_37,6,2,2
ENRIQ_38_S39_L001,industry,ENRIQ_38,4,2,2
ENRIQ_39_S40_L001,industry,ENRIQ_39,2,2,2
ENRIQ_40_S41_L001,industry,ENRIQ_40,6,1,2
ENRIQ_41_S42_L001,industry,ENRIQ_41,3,1,2
ENRIQ_42_S43_L001,industry,ENRIQ_42,1,1,2
ENRIQ_43_S44_L001,industry,ENRIQ_43,6,2,1
ENRIQ_44_S45_L001,industry,ENRIQ_44,4,2,1
ENRIQ_45_S46_L001,industry,ENRIQ_45,2,2,1
ENRIQ_46_S47_L001,industry,ENRIQ_46,6,1,1
ENRIQ_47_S48_L001,industry,ENRIQ_47,3,1,1
ENRIQ_48_S49_L001,industry,ENRIQ_48,1,1,1
ENRIQ_49_S50_L001,industry,ENRIQ_49,5,2,2
ENRIQ_50_S51_L001,industry,ENRIQ_50,3,2,2
ENRIQ_51_S52_L001,industry,ENRIQ_51,1,2,2
ENRIQ_52_S53_L001,industry,ENRIQ_52,4,1,2
ENRIQ_53_S54_L001,industry,ENRIQ_53,2,1,2
ENRIQ_54_S55_L001,industry,ENRIQ_54,B,2,2
ENRIQ_55_S56_L001,industry,ENRIQ_55,5,2,1
ENRIQ_56_S57_L001,industry,ENRIQ_56,3,2,1
ENRIQ_57_S58_L001,industry,ENRIQ_57,1,2,1
ENRIQ_58_S59_L001,industry,ENRIQ_58,4,1,1
ENRIQ_59_S60_L001,industry,ENRIQ_59,2,1,1
ENRIQ_60_S61_L001,industry,ENRIQ_60,B,2,1
ENRIQ_61_S62_L001,industry,ENRIQ_61,B,0,1
ENRIQ_62_S63_L001,industry,ENRIQ_62,B,0,2
ENRIQ_1_S2_L001,nisin,ENRIQ_1,B_1,T_0,na
ENRIQ_10_S11_L001,nisin,ENRIQ_10,FS_1,T_0,na
ENRIQ_11_S12_L001,nisin,ENRIQ_11,FS_2,T_0,na
ENRIQ_12_S13_L001,nisin,ENRIQ_12,FS_3,T_0,na
ENRIQ_13_S14_L001,nisin,ENRIQ_13,B_1,T_6,na
ENRIQ_14_S15_L001,nisin,ENRIQ_14,B_2,T_6,na
ENRIQ_15_S16_L001,nisin,ENRIQ_15,B_3,T_6,na
ENRIQ_16_S17_L001,nisin,ENRIQ_16,F_1,T_6,na
ENRIQ_17_S18_L001,nisin,ENRIQ_17,F_2,T_6,na
ENRIQ_18_S19_L001,nisin,ENRIQ_18,F_3,T_6,na
ENRIQ_19_S20_L001,nisin,ENRIQ_19,S_1,T_6,na
ENRIQ_2_S3_L001,nisin,ENRIQ_2,B_2,T_0,na
ENRIQ_20_S21_L001,nisin,ENRIQ_20,S_2,T_6,na
ENRIQ_21_S22_L001,nisin,ENRIQ_21,S_3,T_6,na
ENRIQ_22_S23_L001,nisin,ENRIQ_22,FS_1,T_6,na
ENRIQ_23_S24_L001,nisin,ENRIQ_23,FS_2,T_6,na
ENRIQ_24_S25_L001,nisin,ENRIQ_24,FS_3,T_6,na
ENRIQ_25_S26_L001,nisin,ENRIQ_25,B_1,T_24,na
ENRIQ_26_S27_L001,nisin,ENRIQ_26,B_2,T_24,na
ENRIQ_27_S28_L001,nisin,ENRIQ_27,B_3,T_24,na
ENRIQ_28_S29_L001,nisin,ENRIQ_28,F_1,T_24,na
ENRIQ_29_S30_L001,nisin,ENRIQ_29,F_2,T_24,na
ENRIQ_3_S4_L001,nisin,ENRIQ_3,B_3,T_0,na
ENRIQ_30_S31_L001,nisin,ENRIQ_30,F_3,T_24,na
ENRIQ_31_S32_L001,nisin,ENRIQ_31,S_1,T_24,na
ENRIQ_32_S33_L001,nisin,ENRIQ_32,S_2,T_24,na
ENRIQ_33_S34_L001,nisin,ENRIQ_33,S_3,T_24,na
ENRIQ_34_S35_L001,nisin,ENRIQ_34,FS_1,T_24,na
ENRIQ_35_S36_L001,nisin,ENRIQ_35,FS_2,T_24,na
ENRIQ_36_S37_L001,nisin,ENRIQ_36,FS_3,T_24,na
ENRIQ_4_S5_L001,nisin,ENRIQ_4,F_1,T_0,na
ENRIQ_5_S6_L001,nisin,ENRIQ_5,F_2,T_0,na
ENRIQ_6_S7_L001,nisin,ENRIQ_6,F_3,T_0,na
ENRIQ_7_S8_L001,nisin,ENRIQ_7,S_1,T_0,na
ENRIQ_8_S9_L001,nisin,ENRIQ_8,S_2,T_0,na
ENRIQ_9_S10_L001,nisin,ENRIQ_9,S_3,T_0,na
