treatment	FS	FS	FS	B	B	B	F	F	F	S	B	S	S	FS	FS	FS	B	B	B	F	F	B	F	S	S	S	FS	FS	FS	B	F	F	F	S	S	S
timepoint	0	0	0	6	6	6	6	6	6	6	0	6	6	6	6	6	24	24	24	24	24	0	24	24	24	24	24	24	24	0	0	0	0	0	0	0
# Pathway	ENRIQ_10_S11_L001_Abundance	ENRIQ_11_S12_L001_Abundance	ENRIQ_12_S13_L001_Abundance	ENRIQ_13_S14_L001_Abundance	ENRIQ_14_S15_L001_Abundance	ENRIQ_15_S16_L001_Abundance	ENRIQ_16_S17_L001_Abundance	ENRIQ_17_S18_L001_Abundance	ENRIQ_18_S19_L001_Abundance	ENRIQ_19_S20_L001_Abundance	ENRIQ_1_S2_L001_Abundance	ENRIQ_20_S21_L001_Abundance	ENRIQ_21_S22_L001_Abundance	ENRIQ_22_S23_L001_Abundance	ENRIQ_23_S24_L001_Abundance	ENRIQ_24_S25_L001_Abundance	ENRIQ_25_S26_L001_Abundance	ENRIQ_26_S27_L001_Abundance	ENRIQ_27_S28_L001_Abundance	ENRIQ_28_S29_L001_Abundance	ENRIQ_29_S30_L001_Abundance	ENRIQ_2_S3_L001_Abundance	ENRIQ_30_S31_L001_Abundance	ENRIQ_31_S32_L001_Abundance	ENRIQ_32_S33_L001_Abundance	ENRIQ_33_S34_L001_Abundance	ENRIQ_34_S35_L001_Abundance	ENRIQ_35_S36_L001_Abundance	ENRIQ_36_S37_L001_Abundance	ENRIQ_3_S4_L001_Abundance	ENRIQ_4_S5_L001_Abundance	ENRIQ_5_S6_L001_Abundance	ENRIQ_6_S7_L001_Abundance	ENRIQ_7_S8_L001_Abundance	ENRIQ_8_S9_L001_Abundance	ENRIQ_9_S10_L001_Abundance
UNMAPPED	392070	442076	380562	316379	391394	302232	386155	364170	331703	348605	410433	335061	372915	397661	378147	350827	300433	506429	295375	354650	375953	479193	385316	419378	333062	330989	317009	346515	293719	465419	448511	467123	450234	468059	472335	341506
UNINTEGRATED	568264	521761	577620	634698	565474	646484	571558	591038	619771	601729	551533	613094	580456	559059	577431	600260	649442	463790	651730	598537	578904	489439	573413	538207	618081	618252	632646	606069	653067	501724	517520	499363	515352	500593	495310	613353
UNINTEGRATED|g__Agathobaculum.s__Agathobaculum_butyriciproducens	0	0	0	0	0	0	0	0	0	0	0	1030.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1145.68	0	0	0	0	0	0	0
UNINTEGRATED|g__Akkermansia.s__Akkermansia_muciniphila	2686.72	2331.36	3112.64	1976.89	1212.78	1877.48	0	1938.06	3907.88	0	0	1991.73	1422.59	0	0	0	2979.81	0	2017.44	1984.29	0	0	0	0	2141.78	1803.75	2772.17	1857.16	3124.12	0	0	1873.72	2404.39	0	0	3662.01
UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii	812.873	0	0	638.092	0	475.379	0	0	486.572	0	0	0	0	0	0	0	2776.83	0	2477.51	1860.77	2395.69	0	985.502	706.371	2921.72	1918.7	2381.85	2069.62	2727.77	0	0	0	208.084	0	0	687.336
UNINTEGRATED|g__Alistipes.s__Alistipes_onderdonkii	0	0	0	230.805	0	0	0	0	205.15	0	0	0	0	0	0	0	1654.79	0	1048.09	627.392	1118.96	0	410.694	423.892	958.453	1153.68	978.123	679.066	1173.65	0	0	0	0	0	0	404.344
UNINTEGRATED|g__Alistipes.s__Alistipes_putredinis	5791.09	4562.27	6528.27	4422.19	0	6099.34	0	4965.44	4287.68	4261.29	3995.87	5975.08	0	1790.5	0	4616.2	7994.94	0	6429	9309.43	8604.45	0	9058.19	6045.98	7571.29	7075.13	8151.24	6557.28	7357.86	3005.99	4988.49	0	2301.44	0	6019.21	4719.66
UNINTEGRATED|g__Alistipes.s__Alistipes_shahii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	542.956	0	325.074	0	0	0	0	0	197.314	174.704	412.71	0	0	0	0	0	0	0	0	0
