Pathway	ENRIQ_10_S11_L001_Coverage	ENRIQ_11_S12_L001_Coverage	ENRIQ_12_S13_L001_Coverage	ENRIQ_13_S14_L001_Coverage	ENRIQ_14_S15_L001_Coverage	ENRIQ_15_S16_L001_Coverage	ENRIQ_16_S17_L001_Coverage	ENRIQ_17_S18_L001_Coverage	ENRIQ_18_S19_L001_Coverage	ENRIQ_19_S20_L001_Coverage	ENRIQ_1_S2_L001_Coverage	ENRIQ_20_S21_L001_Coverage	ENRIQ_21_S22_L001_Coverage	ENRIQ_22_S23_L001_Coverage	ENRIQ_23_S24_L001_Coverage	ENRIQ_24_S25_L001_Coverage	ENRIQ_25_S26_L001_Coverage	ENRIQ_26_S27_L001_Coverage	ENRIQ_27_S28_L001_Coverage	ENRIQ_28_S29_L001_Coverage	ENRIQ_29_S30_L001_Coverage	ENRIQ_2_S3_L001_Coverage	ENRIQ_30_S31_L001_Coverage	ENRIQ_31_S32_L001_Coverage	ENRIQ_32_S33_L001_Coverage	ENRIQ_33_S34_L001_Coverage	ENRIQ_34_S35_L001_Coverage	ENRIQ_35_S36_L001_Coverage	ENRIQ_36_S37_L001_Coverage	ENRIQ_37_S38_L001_Coverage	ENRIQ_38_S39_L001_Coverage	ENRIQ_39_S40_L001_Coverage	ENRIQ_3_S4_L001_Coverage	ENRIQ_40_S41_L001_Coverage	ENRIQ_41_S42_L001_Coverage	ENRIQ_42_S43_L001_Coverage	ENRIQ_43_S44_L001_Coverage	ENRIQ_44_S45_L001_Coverage	ENRIQ_45_S46_L001_Coverage	ENRIQ_46_S47_L001_Coverage	ENRIQ_47_S48_L001_Coverage	ENRIQ_48_S49_L001_Coverage	ENRIQ_49_S50_L001_Coverage	ENRIQ_4_S5_L001_Coverage	ENRIQ_50_S51_L001_Coverage	ENRIQ_51_S52_L001_Coverage	ENRIQ_52_S53_L001_Coverage	ENRIQ_53_S54_L001_Coverage	ENRIQ_54_S55_L001_Coverage	ENRIQ_55_S56_L001_Coverage	ENRIQ_56_S57_L001_Coverage	ENRIQ_57_S58_L001_Coverage	ENRIQ_58_S59_L001_Coverage	ENRIQ_59_S60_L001_Coverage	ENRIQ_5_S6_L001_Coverage	ENRIQ_60_S61_L001_Coverage	ENRIQ_61_S62_L001_Coverage	ENRIQ_62_S63_L001_Coverage	ENRIQ_6_S7_L001_Coverage	ENRIQ_7_S8_L001_Coverage	ENRIQ_8_S9_L001_Coverage	ENRIQ_9_S10_L001_Coverage
UNMAPPED	17721.3	19165.9	18355.4	12074.6	12246.9	12008.1	13098.8	12778.7	11628	10799.6	17299.1	11130.1	10902.9	11939.2	11905	12099.9	11218.5	13244.1	11022.7	11940.9	11772.7	21340.4	12545.5	12999.5	10882.6	10019.9	10805.6	10994.4	10071.3	11090	13486.1	13129	21825	17220.6	17570.5	16512.1	11167.3	12845.7	12915.1	17707.9	18915.7	17252.5	13331.5	19089.4	12659.7	11926.3	18145.8	17087.3	16651.3	14823	12587.2	12218	17929.1	18288.3	18395.3	15830.5	18549	20185.1	20953.7	23334.7	22533.4	16561.8
UNINTEGRATED	17721.3	19165.9	18355.4	12074.6	12246.9	12008.1	13098.8	12778.7	11628	10799.6	17299.1	11130.1	10902.9	11939.2	11905	12099.9	11218.5	13244.1	11022.7	11940.9	11772.7	21340.4	12545.5	12999.5	10882.6	10019.9	10805.6	10994.4	10071.3	11090	13486.1	13129	21825	17220.6	17570.5	16512.1	11167.3	12845.7	12915.1	17707.9	18915.7	17252.5	13331.5	19089.4	12659.7	11926.3	18145.8	17087.3	16651.3	14823	12587.2	12218	17929.1	18288.3	18395.3	15830.5	18549	20185.1	20953.7	23334.7	22533.4	16561.8
1CMET2-PWY: folate transformations III (E. coli)	858.698	0.220755	736.761	12074.6	12246.8	12008.1	11921	12777.2	11628	10799.6	13.944	11130.1	10887.2	11939.2	11905	12099.8	11218.5	0.00634658	11022.7	11940.9	11772.7	15698.4	12304.8	12934	10882.6	10019.9	10805.6	10994.4	10071.3	11089.4	6937.78	12958.2	22.2912	0	0.00652569	121.923	11167.3	12845.7	12402.5	0	0	0	10708.5	1208.17	12659.7	11926.3	0	1.54E-05	0	4101.03	12586.9	11751.2	0	1.83E-06	18136.2	347.207	73.1482	363.821	4525.27	387.993	312.976	13644.2
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation	0	0	0	10817.5	11808.8	7154.93	6349.46	10887.8	10356.1	10799.6	0	11130.1	10902.9	10553.5	11902.8	12099.9	3057.69	278.263	11003.1	10910.8	4194.65	0	10434.9	11213.7	10882.6	10019.9	10805.6	10994.3	10071.3	11086.4	3.63998	23.5352	0	0	0.285075	0.00828082	11167.1	790.381	5980.08	0	0	0	560.429	0	4581.46	8.89873	0	0	0	1.19E-05	30.9028	8686.09	0	1.83E-06	0	0.651833	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	429.789	53.7414	291.307	12074.5	12211.3	12006.3	12685.3	12739.2	11628	10799.6	12725.9	11130.1	10902.9	11939.1	11904.9	12099.9	11218.4	12521.8	11021.8	11937.1	11579.6	11240.4	12224.6	12998.7	10882.6	10019.9	10805.6	10994.4	10071.3	11089.9	8.4263	2151.06	23.9368	0.000404683	15964.1	13883.9	11167.3	11342.7	12816.1	15987.5	16525.9	14944.7	12048.8	1.05247	9306.56	10765.7	17750.7	2530.22	13317	0.410063	339.456	12217.8	17325.8	18240.4	15613.1	15206	0	2111.91	9587.43	10.1189	0.0234528	15911.6
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00303025	0	0	0	0	0	0	0	0	0	0	0	1.11E-06	0	0	0	0	0	0	0	0	0	0	1.89E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
