file                           format  type   num_seqs      sum_len  min_len  avg_len  max_len
ENRIQ_10_S11_L001_R1.fastq.gz  FASTQ   DNA   2,001,022  212,472,568       35    106.2      151
ENRIQ_10_S11_L001_R2.fastq.gz  FASTQ   DNA   2,001,022  212,160,304       35      106      151
ENRIQ_11_S12_L001_R1.fastq.gz  FASTQ   DNA   1,362,265  144,008,304       35    105.7      151
ENRIQ_11_S12_L001_R2.fastq.gz  FASTQ   DNA   1,362,265  143,854,248       35    105.6      151
ENRIQ_12_S13_L001_R1.fastq.gz  FASTQ   DNA   2,248,080  237,334,049       35    105.6      151
ENRIQ_12_S13_L001_R2.fastq.gz  FASTQ   DNA   2,248,080  237,115,897       35    105.5      151
ENRIQ_13_S14_L001_R1.fastq.gz  FASTQ   DNA   2,007,019  218,468,795       35    108.9      151
ENRIQ_13_S14_L001_R2.fastq.gz  FASTQ   DNA   2,007,019  218,064,635       35    108.7      151
ENRIQ_14_S15_L001_R1.fastq.gz  FASTQ   DNA     846,218   93,054,783       35      110      151
ENRIQ_14_S15_L001_R2.fastq.gz  FASTQ   DNA     846,218   92,980,023       35    109.9      151
ENRIQ_15_S16_L001_R1.fastq.gz  FASTQ   DNA   1,666,049  191,670,798       35      115      151
ENRIQ_15_S16_L001_R2.fastq.gz  FASTQ   DNA   1,666,049  191,472,363       35    114.9      151
ENRIQ_16_S17_L001_R1.fastq.gz  FASTQ   DNA   1,110,189  122,999,893       35    110.8      151
ENRIQ_16_S17_L001_R2.fastq.gz  FASTQ   DNA   1,110,189  122,853,382       35    110.7      151
ENRIQ_17_S18_L001_R1.fastq.gz  FASTQ   DNA   1,247,247  134,413,351       35    107.8      151
ENRIQ_17_S18_L001_R2.fastq.gz  FASTQ   DNA   1,247,247  134,234,546       35    107.6      151
ENRIQ_18_S19_L001_R1.fastq.gz  FASTQ   DNA   1,979,873  213,142,857       35    107.7      151
ENRIQ_18_S19_L001_R2.fastq.gz  FASTQ   DNA   1,979,873  212,927,907       35    107.5      151
ENRIQ_19_S20_L001_R1.fastq.gz  FASTQ   DNA   1,727,245  184,512,891       35    106.8      151
ENRIQ_19_S20_L001_R2.fastq.gz  FASTQ   DNA   1,727,245  184,277,195       35    106.7      151
ENRIQ_1_S2_L001_R1.fastq.gz    FASTQ   DNA   1,500,985  165,521,571       35    110.3      151
ENRIQ_1_S2_L001_R2.fastq.gz    FASTQ   DNA   1,500,985  165,318,379       35    110.1      151
ENRIQ_20_S21_L001_R1.fastq.gz  FASTQ   DNA   2,174,263  227,426,598       35    104.6      151
ENRIQ_20_S21_L001_R2.fastq.gz  FASTQ   DNA   2,174,263  227,120,863       35    104.5      151
ENRIQ_21_S22_L001_R1.fastq.gz  FASTQ   DNA   1,276,692  136,177,726       35    106.7      151
ENRIQ_21_S22_L001_R2.fastq.gz  FASTQ   DNA   1,276,692  136,042,444       35    106.6      151
ENRIQ_22_S23_L001_R1.fastq.gz  FASTQ   DNA   1,010,658  108,848,656       35    107.7      151
ENRIQ_22_S23_L001_R2.fastq.gz  FASTQ   DNA   1,010,658  108,732,245       35    107.6      151
ENRIQ_23_S24_L001_R1.fastq.gz  FASTQ   DNA   1,122,405  123,284,307       35    109.8      151
ENRIQ_23_S24_L001_R2.fastq.gz  FASTQ   DNA   1,122,405  123,134,644       35    109.7      151
ENRIQ_24_S25_L001_R1.fastq.gz  FASTQ   DNA   1,343,255  149,135,108       35      111      151
ENRIQ_24_S25_L001_R2.fastq.gz  FASTQ   DNA   1,343,255  148,916,649       35    110.9      151
ENRIQ_25_S26_L001_R1.fastq.gz  FASTQ   DNA   2,719,504  294,918,061       35    108.4      151
ENRIQ_25_S26_L001_R2.fastq.gz  FASTQ   DNA   2,719,504  294,626,723       35    108.3      151
ENRIQ_26_S27_L001_R1.fastq.gz  FASTQ   DNA     437,919   47,439,514       35    108.3      151
ENRIQ_26_S27_L001_R2.fastq.gz  FASTQ   DNA     437,919   47,370,088       35    108.2      151
ENRIQ_27_S28_L001_R1.fastq.gz  FASTQ   DNA   3,197,714  337,007,813       35    105.4      151
ENRIQ_27_S28_L001_R2.fastq.gz  FASTQ   DNA   3,197,714  336,660,053       35    105.3      151
ENRIQ_28_S29_L001_R1.fastq.gz  FASTQ   DNA   1,918,669  198,882,161       35    103.7      151
ENRIQ_28_S29_L001_R2.fastq.gz  FASTQ   DNA   1,918,669  198,605,843       35    103.5      151
