feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Streptococcus_salivarius	treatment	S	3.59383983212791	0.228818859808377	12	12	2.696312573085e-07	8.0496296551301e-05
Streptococcus_salivarius	treatment	FS	3.50813555538345	0.228818859808377	12	12	3.25237561823438e-07	8.0496296551301e-05
Fusobacterium_nucleatum	treatment	F	5.51242975788895	0.670168234802384	12	6	3.57314476200037e-05	0.00589568885730062
Bifidobacterium_longum	treatment	FS	-0.606156404751551	0.0950522019244423	12	12	0.000214307886217191	0.0265206009193773
Bifidobacterium_animalis	treatment	S	-0.718800217815685	0.117582119289058	12	12	0.000285301546188959	0.0282448530727069
Bifidobacterium_animalis	treatment	FS	-0.695338135761459	0.117582119289058	12	12	0.000356231660772511	0.0293891120137322
Bifidobacterium_longum	treatment	S	-0.413340861390165	0.0950522019244423	12	12	0.00244999277431344	0.173249489040736
Prevotella_copri_clade_A	treatment	S	0.437636642142239	0.103105247206254	12	12	0.00281991998430453	0.174482549028843
Escherichia_coli	treatment	FS	-0.959487366525961	0.237029550858973	12	12	0.00369463526675595	0.203204939671577
Escherichia_coli	treatment	S	-0.843400230861413	0.237029550858973	12	12	0.00742008911707192	0.36729441129506
Prevotella_copri_clade_A	treatment	FS	0.353272489534009	0.103105247206254	12	12	0.00900346551131601	0.40515594800922
Fusobacterium_nucleatum	treatment	FS	2.21538817479533	0.670168234802384	12	6	0.0107666649422009	0.444124928865786
Dorea_longicatena	treatment	FS	0.182561704731502	0.0591786584981478	12	12	0.0150044953952479	0.5713250169729
Blautia_faecis	treatment	FS	-0.242418655003162	0.0838049504851842	12	12	0.0201171066982388	0.628160299910347
Dorea_longicatena	treatment	F	-0.165115294017341	0.0591786584981478	12	12	0.0235541138172033	0.628160299910347
Bifidobacterium_bifidum	treatment	FS	-0.515393758601749	0.185607346462241	12	12	0.0240431412706438	0.628160299910347
Clostridia_unclassified_SGB6317	treatment	FS	0.957699371779898	0.345121304601529	12	11	0.0241112034309022	0.628160299910347
Holdemanella_biformis	treatment	FS	3.72078610932961	1.29176716983299	12	7	0.0204994352328639	0.628160299910347
Lactobacillus_acidophilus	treatment	S	-0.8805322356404	0.312218826195976	12	12	0.0224855442959749	0.628160299910347
Clostridium_fessum	treatment	F	-2.06348571258234	0.768734699066993	12	4	0.0277421519352177	0.653922152758703
Clostridium_fessum	treatment	S	-2.06348571258234	0.768734699066993	12	4	0.0277421519352177	0.653922152758703
Bacteroides_ovatus	treatment	F	0.392139812592467	0.152738109268188	12	12	0.0332618228951978	0.715852275353169
Lactobacillus_acidophilus	treatment	FS	-0.810172509699277	0.312218826195976	12	12	0.0318700863435027	0.715852275353169
Roseburia_hominis	treatment	F	-2.60670661147081	1.02979579429656	12	7	0.0351849672241927	0.725689948998975
Bacteroides_xylanisolvens	treatment	S	-0.625579142892955	0.254105316182387	12	12	0.0392031000752943	0.751581839812739
Faecalitalea_cylindroides	treatment	F	0.392603102302843	0.16135081651375	12	12	0.0409953730806949	0.751581839812739
Clostridium_symbiosum	treatment	FS	1.00515059044147	0.411406400264196	12	2	0.0403621640267205	0.751581839812739
Clostridium_sp_AT4	treatment	F	-2.55135038939104	1.10878533685843	12	7	0.0503896022212784	0.793253728061097
GGB781_SGB1024	treatment	FS	3.06213779244697	1.35961227993957	12	9	0.0543791059024467	0.793253728061097
Bifidobacterium_animalis	treatment	F	-0.278463314637316	0.117582119289058	12	12	0.0453705056941712	0.793253728061097
Escherichia_coli	treatment	F	-0.547201758369707	0.237029550858973	12	12	0.0497993265312545	0.793253728061097
Enterococcus_faecium	treatment	F	-4.40861814343045	1.97485430052415	12	4	0.0560886474386634	0.793253728061097
Enterococcus_faecium	treatment	S	-4.40861814343045	1.97485430052415	12	4	0.0560886474386634	0.793253728061097
