feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Streptococcus_salivarius	treatment	S	3.32241802177951	0.191139612510537	12	12	1.22326911074608e-07	2.64226127921154e-05
Streptococcus_salivarius	treatment	FS	3.36072742890776	0.191139612510537	12	12	1.11841951382715e-07	2.64226127921154e-05
Blautia_faecis	treatment	S	-0.422325492457896	0.0794556400494393	12	12	0.000715127948994463	0.0514892123276013
Bifidobacterium_longum	treatment	S	-0.342166004943908	0.0637570033221199	12	12	0.000672237652849134	0.0514892123276013
Bifidobacterium_longum	treatment	FS	-0.34678169102503	0.0637570033221199	12	12	0.000616622407899747	0.0514892123276013
Fusobacterium_nucleatum	treatment	F	1.38009380209372	0.24218964302325	12	3	0.000455218409532985	0.0514892123276013
Weissella_confusa	treatment	F	-0.661348417985307	0.136735737298854	12	12	0.00129356591371713	0.0798314963894001
Escherichia_coli	treatment	S	-0.971307444290462	0.217931593764201	12	12	0.00211966863740265	0.11230967715432
Escherichia_coli	treatment	FS	-0.955165180697584	0.217931593764201	12	12	0.00233978494071499	0.11230967715432
Bifidobacterium_animalis	treatment	FS	-0.661855732547931	0.163619898696429	12	12	0.00370946525786591	0.160248899139807
Blautia_faecis	treatment	FS	-0.296883123476274	0.0794556400494393	12	12	0.00573435056190578	0.225203585703936
