feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bifidobacterium_adolescentis	strep_exposure	Y	-0.175836386031049	0.0602926274032767	12	12	0.0153955286080135	0.390980278565878
Collinsella_aerofaciens	strep_exposure	Y	-0.0795281095090613	0.0381389100675097	12	12	0.0636375227617645	0.390980278565878
Ruminococcaceae_unclassified_SGB4425	strep_exposure	Y	0.188112788947295	0.0992310793835912	12	12	0.0872381195602795	0.390980278565878
Blautia_massiliensis	strep_exposure	Y	-0.161122870818536	0.0838574796816802	12	12	0.0836167014784489	0.390980278565878
Candidatus_Cibiobacter_qucibialis	strep_exposure	Y	-0.10101684534351	0.0564055159635934	12	12	0.103574674608252	0.390980278565878
Streptococcus_salivarius	strep_exposure	Y	0.353493968887447	0.12132269107711	12	12	0.0154672820820396	0.390980278565878
Lachnospiraceae_bacterium	strep_exposure	Y	0.27342150667639	0.109536974121863	12	12	0.0316545590877707	0.390980278565878
Megasphaera_sp_BL7	strep_exposure	Y	-0.384461101479778	0.160441444723333	12	12	0.0375541792264691	0.390980278565878
Gemmiger_formicilis	strep_exposure	Y	0.223423700678465	0.125814809055647	12	12	0.106146169568991	0.390980278565878
Streptococcus_thermophilus	strep_exposure	Y	-1.14918343605942	0.525813689884121	12	11	0.0537403590842852	0.390980278565878
Alistipes_onderdonkii	strep_exposure	Y	0.251878765030908	0.125609457219552	12	12	0.0727482591769659	0.390980278565878
Bacteroides_xylanisolvens	strep_exposure	Y	0.777990114401646	0.373323594820416	12	12	0.0637729098040088	0.390980278565878
Dorea_formicigenerans	strep_exposure	Y	0.430528073097539	0.204197912935585	12	12	0.0612080850187308	0.390980278565878
Clostridium_sp_AF34_10BH	strep_exposure	Y	0.702329135972236	0.329294074568254	12	12	0.0587402726344529	0.390980278565878
Ruminococcaceae_unclassified_SGB15265	strep_exposure	Y	0.598269632172472	0.179151632920414	12	12	0.00749733169454242	0.390980278565878
Bacteroidales_bacterium	strep_exposure	Y	1.31044453681561	0.739340814883129	12	12	0.106727373597575	0.390980278565878
Phocaeicola_plebeius	strep_exposure	Y	1.46596207390884	0.598137790983709	12	8	0.0342064143983916	0.390980278565878
GGB3746_SGB5089	strep_exposure	Y	0.725676752945943	0.324925822409385	12	11	0.0495591827798742	0.390980278565878
Bilophila_wadsworthia	strep_exposure	Y	1.68389389540974	0.8906967097313	12	6	0.0879843046709179	0.390980278565878
Lachnospira_pectinoschiza	strep_exposure	Y	2.93638982984028	0.841373142343457	12	10	0.00582303836692893	0.390980278565878
Clostridia_unclassified_SGB14844	strep_exposure	Y	0.740255844828468	0.348996548204846	12	3	0.0599127569384066	0.390980278565878
Dorea_sp_AF36_15AT	strep_exposure	Y	1.98030310354914	0.913466386656913	12	10	0.0553660705857394	0.390980278565878
Bacteroides_finegoldii	strep_exposure	Y	2.1909673778289	1.12890044914776	12	6	0.0809738863584149	0.390980278565878
Ruminococcaceae_bacterium	strep_exposure	Y	1.814909439933	0.995819502254517	12	7	0.0983697783822085	0.390980278565878
Ruminococcus_lactaris	strep_exposure	Y	1.75603465594408	0.740751430016508	12	11	0.0392361906423072	0.390980278565878
Weissella_confusa	strep_exposure	Y	1.00031204242936	0.451560422130968	12	5	0.051105570816237	0.390980278565878
Clostridium_fessum	strep_exposure	Y	0.936326058767633	0.535309163788588	12	4	0.110836562857929	0.390980278565878
Clostridium_phoceensis	strep_exposure	Y	0.980685526998096	0.543222570771569	12	4	0.101172926561817	0.390980278565878
Eggerthellaceae_bacterium	strep_exposure	Y	0.866938792140211	0.422480618897648	12	3	0.0672803677897271	0.390980278565878
Dorea_sp_AF24_7LB	strep_exposure	Y	0.647846351729363	0.299076811408641	12	3	0.0555295379796098	0.390980278565878
Holdemanella_biformis	strep_exposure	Y	2.04492850089094	1.05614584269854	12	7	0.0815903726402339	0.390980278565878
GGB3256_SGB4303	strep_exposure	Y	1.03412693283375	0.592228677204285	12	6	0.111370139955129	0.390980278565878
Roseburia_inulinivorans	strep_exposure	Y	1.13585763879725	0.637390737767846	12	4	0.105077673987752	0.390980278565878
Desulfovibrio_piger	strep_exposure	Y	2.0584671277997	1.15797898371257	12	3	0.105832307005342	0.390980278565878
Ruminococcaceae_unclassified_SGB15236	strep_exposure	Y	2.21472170903432	0.981090780651244	12	5	0.047577508902754	0.390980278565878
Evtepia_gabavorous	strep_exposure	Y	0.842565769447671	0.407066892803417	12	3	0.0653006346787994	0.390980278565878
GGB51441_SGB71759	strep_exposure	Y	2.76836335324771	1.1081291274094	12	4	0.0315422565013016	0.390980278565878
GGB2982_SGB3964	strep_exposure	Y	0.700824965605775	0.329327001408273	12	3	0.0592152623089474	0.390980278565878
Parolsenella_catena	strep_exposure	Y	1.12062197596937	0.395115509865605	12	4	0.0176634670647848	0.390980278565878
Roseburia_intestinalis	strep_exposure	Y	0.987106025108119	0.525693962438076	12	3	0.0898601416526418	0.390980278565878
