feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Streptococcus_salivarius	strep_exposure	Y	3.41111605225293	0.125117448765229	12	12	1.02026029651743e-10	1.46917482698509e-08
Bifidobacterium_longum	strep_exposure	Y	-0.3596331746696	0.0409024260167535	12	12	5.10126904066261e-06	0.000367291370927708
Anaerobutyricum_hallii	strep_exposure	Y	-0.203479911318467	0.0364128762404106	12	12	0.000231474445899489	0.0111107734031755
Bifidobacterium_bifidum	strep_exposure	Y	-0.297155236262407	0.0712072328416825	12	12	0.00190851845349168	0.0687066643257006
Blautia_faecis	strep_exposure	Y	-0.274636134862397	0.0689636641950108	12	12	0.00259118967777841	0.0746262627200182
Bacteroides_cellulosilyticus	strep_exposure	Y	-0.302351728662948	0.0842699132889679	12	12	0.00494635571279806	0.118712537107153
Blautia_obeum	strep_exposure	Y	-0.274579451455101	0.0815894234280212	12	12	0.00717701324990733	0.129186238498332
Bifidobacterium_animalis	strep_exposure	Y	-0.433797100496557	0.126464450770599	12	12	0.00643643367917867	0.129186238498332
Parabacteroides_distasonis	strep_exposure	Y	-0.333989459170832	0.112940153486581	12	12	0.01435610270908	0.22969764334528
Blautia_SGB4831	strep_exposure	Y	-0.162658897614726	0.0586721864273634	12	12	0.019708207201607	0.241947670646849
Clostridia_unclassified_SGB6317	strep_exposure	Y	1.18519872971594	0.436951699410853	12	11	0.0218424980445072	0.241947670646849
Escherichia_coli	strep_exposure	Y	-0.593717350536071	0.215219778615335	12	12	0.0201762768144537	0.241947670646849
Fusobacterium_mortiferum	strep_exposure	Y	-0.652945716109292	0.2376802977873	12	12	0.0205783188247971	0.241947670646849
