feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X2.O.alpha.mannosyl.D.glycerate.utilization	strep_exposure	Y	-0.206115506368685	0.0763592751212055	12	12	0.0223407379924914	0.947449733285378
X4.Hydroxyphenylacetic.acid.catabolic.pathway	strep_exposure	Y	1.08983355566272	0.531444688811788	12	9	0.067429255813291	0.947449733285378
A.Gram.positive.cluster.that.relates.ribosomal.protein.L28P.to.a.set.of.uncharacterized.proteins	strep_exposure	Y	0.0911946084460726	0.0474123188175718	12	12	0.0833341207168013	0.947449733285378
A.Hypothetical.Protein.Related.to.Proline.Metabolism	strep_exposure	Y	0.126383054478504	0.0773812847667575	12	12	0.13346499974119	0.947449733285378
ABC.transporter.tungstate..TC.3.A.1.6.2.	strep_exposure	Y	0.373194104288266	0.225240142428755	12	12	0.128540910194303	0.947449733285378
Acetoin..butanediol.metabolism	strep_exposure	Y	0.114247839574357	0.0500594042293992	12	12	0.0456112602566588	0.947449733285378
Aminoglycoside.adenylyltransferases	strep_exposure	Y	0.383411538311531	0.254332793541209	12	12	0.162600474424046	0.947449733285378
Archaeal.lipids	strep_exposure	Y	0.281785905761792	0.161087940979566	12	12	0.110812157000994	0.947449733285378
Archaeal.membrane.bound.hydrogenases	strep_exposure	Y	-0.601397820803214	0.297548407123088	12	12	0.0708410174124043	0.947449733285378
Arginine.Biosynthesis.extended	strep_exposure	Y	-0.0446285631733778	0.0196568612135639	12	12	0.0465404490170698	0.947449733285378
Arginine.Deiminase.Pathway	strep_exposure	Y	-0.0761813160861426	0.0505358488210672	12	12	0.162612657896898	0.947449733285378
Arsenic.resistance	strep_exposure	Y	-0.191379146810812	0.0868733103523521	12	12	0.0521782428263029	0.947449733285378
At1g26220.At1g32070	strep_exposure	Y	-0.218708147690152	0.116928753408047	12	12	0.0909422626290594	0.947449733285378
At4g10620.At3g57180.At3g47450	strep_exposure	Y	0.107144448205431	0.0741741474243119	12	12	0.179191863400604	0.947449733285378
