feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Competence.in.Streptococci	strep_exposure	Y	2.5907533934669	0.0887267105179325	12	12	5.17811083387061e-11	4.62923108548033e-08
SecY2.SecA2.Specialized.Transport.System	strep_exposure	Y	3.12904652676367	0.129375439059464	12	12	3.32471346190689e-10	1.48614691747238e-07
Late.competence	strep_exposure	Y	2.82079398271377	0.131985447571538	12	12	1.12081316717764e-09	3.34002323818936e-07
Sucrose.specific.PTS	strep_exposure	Y	3.09792962795366	0.152912631092265	12	12	1.89189395987811e-09	4.22838300032758e-07
Beta.lactamase.cluster.in.Streptococcus	strep_exposure	Y	2.70309666401329	0.140537092731737	12	12	3.14264358559745e-09	5.61904673104825e-07
Urea.decomposition	strep_exposure	Y	1.27584699894823	0.069211812753819	12	12	4.75526765111308e-09	7.0853488001585e-07
Glutamate.transporter.involved.in.acid.tolerance.in.Streptococcus	strep_exposure	Y	2.5763163393181	0.163152089112056	12	12	2.13180906355651e-08	2.7226247183136e-06
Control.of.cell.elongation...division.cycle.in.Bacilli	strep_exposure	Y	1.85104089825315	0.123332591666816	12	12	3.47724230531059e-08	3.56824593035638e-06
Urease.subunits	strep_exposure	Y	1.45881662160521	0.0975287191963127	12	12	3.59219388962052e-08	3.56824593035638e-06
Gram.Positive.Competence	strep_exposure	Y	2.15047426014446	0.158651952575614	12	12	9.21901523000864e-08	8.24179961562772e-06
HtrA.and.Sec.secretion	strep_exposure	Y	1.28329219944088	0.100158212075717	12	12	1.57386250815638e-07	1.27912098390164e-05
Polyglycerolphosphate.lipoteichoic.acid.biosynthesis	strep_exposure	Y	1.24712641655635	0.099585374381688	12	12	1.95373797723932e-07	1.45553479304329e-05
Archaeal.lipids	strep_exposure	Y	1.60245512725917	0.129570404181317	12	12	2.19882646693081e-07	1.51211604725857e-05
pyrimidine.conversions	strep_exposure	Y	0.401527190849755	0.0332961521474429	12	12	2.78910234112672e-07	1.7810410664052e-05
Conserved.gene.cluster.possibly.involved.in.RNA.metabolism	strep_exposure	Y	0.598588483536662	0.0511004840243237	12	12	3.66426213940229e-07	2.04740647039103e-05
tRNA.dependent.amino.acid.transfers	strep_exposure	Y	3.11701967669565	0.264779512067863	12	12	3.49786567350709e-07	2.04740647039103e-05
A.Gram.positive.cluster.that.relates.ribosomal.protein.L28P.to.a.set.of.uncharacterized.proteins	strep_exposure	Y	0.424183959128364	0.0382374429630638	12	12	6.09344630497626e-07	3.20443588038163e-05
At4g10620.At3g57180.At3g47450	strep_exposure	Y	0.612832899608812	0.0563157909220455	12	12	7.28675776470521e-07	3.61908968980359e-05
Streptococcus.agalactiae.virulome	strep_exposure	Y	2.26967194585638	0.215683849455761	12	12	9.94173865451036e-07	4.67784966164856e-05
Acetoin..butanediol.metabolism	strep_exposure	Y	0.508069317883792	0.0485738016615161	12	12	1.05124122278068e-06	4.69904826582962e-05
Cell.Division.Cluster	strep_exposure	Y	0.596849014309725	0.0573980557223324	12	12	1.10985202732662e-06	4.72479863061904e-05
Cell.envelope.associated.LytR.CpsA.Psr.transcriptional.attenuators	strep_exposure	Y	0.374871840356485	0.037134480005418	12	12	1.45752566781084e-06	5.92285430464952e-05
Chitin.and.N.acetylglucosamine.utilization	strep_exposure	Y	-0.16283644927269	0.017165562129661	12	12	2.57207710027615e-06	9.99755185933424e-05
Streptococcus.pyogenes.virulence.regulators	strep_exposure	Y	3.44432861041146	0.368585561564745	12	12	2.94770322109683e-06	0.000109801944985857
CBSS.262719.3.peg.410	strep_exposure	Y	0.362853057432334	0.0395114696678691	12	12	3.45007964542866e-06	0.000118629661654355
Unspecified.monosaccharide.transport.cluster	strep_exposure	Y	0.54907048430426	0.0597173582601372	12	12	3.41299286842205e-06	0.000118629661654355
Glycerolipid.and.Glycerophospholipid.Metabolism.in.Bacteria	strep_exposure	Y	0.125418564041756	0.0140600451521205	12	12	4.48267511415939e-06	0.000148426353779944
Single.Rhodanese.domain.proteins	strep_exposure	Y	1.78064521946856	0.202432778547074	12	12	5.08176735782191e-06	0.0001622535720676
Streptococcus.pyogenes.Virulome	strep_exposure	Y	1.70586645131654	0.199093419053259	12	12	6.42435199890667e-06	0.000198047265069744
ATP.dependent.Nuclease	strep_exposure	Y	0.481401051142193	0.0570098551849212	12	12	7.31275605527448e-06	0.00021792013044718
CBSS.222523.1.peg.1311	strep_exposure	Y	0.912631809180024	0.109724439785267	12	12	8.36020788385198e-06	0.00024109760800528
L.Arabinose.utilization	strep_exposure	Y	-0.184468142654551	0.0227212018350028	12	12	1.03466409054258e-05	0.000289059280295333
Omega.amidase	strep_exposure	Y	0.909039850059864	0.119218197395617	12	12	1.7884625921501e-05	0.0004845107749643
CBSS.261594.1.peg.788	strep_exposure	Y	1.05690714503947	0.148497206493939	12	12	3.22784368276514e-05	0.00078495049443952
D.Alanyl.Lipoteichoic.Acid.Biosynthesis	strep_exposure	Y	1.01202274318918	0.141447323094343	12	12	3.08728142166215e-05	0.00078495049443952
Extracellular.Polysaccharide.Biosynthesis.of.Streptococci	strep_exposure	Y	1.3935608164564	0.19594612646888	12	12	3.24867654298235e-05	0.00078495049443952
acinetobacter.tca	strep_exposure	Y	-0.203539099808183	0.0284748736214846	12	12	3.1121168358882e-05	0.00078495049443952
RNA.pseudouridine.syntheses	strep_exposure	Y	0.213567025725644	0.0305159816012072	12	12	3.72218436118453e-05	0.000875692847078675
Copper.homeostasis	strep_exposure	Y	0.109314713247955	0.0161240032949474	12	12	4.8610822248571e-05	0.00111430961769801
IojapClusters	strep_exposure	Y	0.170848642472357	0.0265239335922989	12	12	7.42979037321261e-05	0.00162005673015904
Methionine.Biosynthesis	strep_exposure	Y	0.0826643970678794	0.0128017680262264	12	12	7.28017926729255e-05	0.00162005673015904
Glycerol.fermentation.to.1.3.propanediol	strep_exposure	Y	-0.3587759127299	0.0569251256429839	12	12	8.8785843295465e-05	0.00188604484149622
TCA.Cycle	strep_exposure	Y	-0.212544472250876	0.0338124641157032	12	12	9.0715803338185e-05	0.00188604484149622
Streptococcal.Mga.Regulon	strep_exposure	Y	2.20458467583725	0.359323462058027	12	12	0.000110424309722907	0.00224362120209725
Transport.of.Zinc	strep_exposure	Y	0.223188180916379	0.0368409270163226	12	12	0.00012227813900551	0.00242925902824279
CBSS.257314.1.peg.676	strep_exposure	Y	0.347792031863109	0.0586726732845574	12	12	0.0001455382563697	0.00282850437379373
Dehydrogenase.complexes	strep_exposure	Y	0.630540113888836	0.109859437644185	12	12	0.000187843072469036	0.00356237218748426
Mercuric.reductase	strep_exposure	Y	0.563579119026983	0.0984189443957911	12	12	0.000191268305368282	0.00356237218748426
Raj.MurE	strep_exposure	Y	0.19634191079955	0.0349199655870743	12	12	0.000220654080407782	0.00394529495769114
Xylose.utilization	strep_exposure	Y	-0.119665225403924	0.0212516585074855	12	12	0.000218150778104383	0.00394529495769114
Adhesion.of.Campylobacter	strep_exposure	Y	0.416857758090281	0.0746496039708773	12	12	0.000232745496212237	0.0040798916394851
Sporulation.Cluster	strep_exposure	Y	0.771340863490356	0.141397263146538	12	12	0.000278832046894882	0.00479376634469278
Threonine.anaerobic.catabolism.gene.cluster	strep_exposure	Y	-0.501089811806866	0.0950143289012463	12	12	0.000360820664731322	0.00608629574093965
Alpha.acetolactate.operon	strep_exposure	Y	1.49901730058723	0.291769372544702	12	12	0.000439241274750602	0.0072662015000748
Mercury.resistance.operon	strep_exposure	Y	0.539673741867925	0.105289758780776	12	12	0.000447025819355832	0.0072662015000748
D.Galacturonate.and.D.Glucuronate.Utilization	strep_exposure	Y	-0.174643961061239	0.0342041774797587	12	12	0.000460032474006004	0.00734408985288156
DNA.repair..bacterial.MutL.MutS.system	strep_exposure	Y	0.190862766814699	0.0378049400095244	12	12	0.000500258979743658	0.00771088841191086
Prophage.lysogenic.conversion.modules	strep_exposure	Y	3.07009302583648	0.607288024087261	12	9	0.000495298572155587	0.00771088841191086
Capsular.surface.virulence.antigen.loci	strep_exposure	Y	-0.729075896339227	0.146662590448771	12	12	0.000560742169013552	0.00835505831830192
Heat.shock.dnaK.gene.cluster.extended	strep_exposure	Y	0.129961474167458	0.0260921423868593	12	12	0.00055271773432292	0.00835505831830192
DNA.repair..bacterial	strep_exposure	Y	0.0407158986124853	0.00822518838769415	12	12	0.00057840666421505	0.00847697635751237
Glutathione..Redox.cycle	strep_exposure	Y	0.416818625996311	0.0849444966812498	12	12	0.000616703344815178	0.00889246435910917
Broadly.distributed.proteins.not.in.subsystems	strep_exposure	Y	-0.306268809076314	0.0630322456791037	12	12	0.000662479507777919	0.00903437352951288
Choline.and.Betaine.Uptake.and.Betaine.Biosynthesis	strep_exposure	Y	0.209323672628524	0.043120352191482	12	12	0.000666967173319743	0.00903437352951288
Monika.MRSA	strep_exposure	Y	0.251145741194531	0.051652754904932	12	12	0.000659249194038944	0.00903437352951288
Na....translocating.NADH.quinone.oxidoreductase.and.rnf.like.group.of.electron.transport.complexes	strep_exposure	Y	-0.125280908215855	0.0257370535043263	12	12	0.000653826549603866	0.00903437352951288
Unknown.carbohydrate.utilization.containing.Fructose.bisphosphate.aldolase	strep_exposure	Y	-0.951970303247421	0.198693394265929	12	12	0.000733320424846925	0.00978490238527091
Fructooligosaccharides.FOS..and.Raffinose.Utilization	strep_exposure	Y	-0.10770062219947	0.0226873480621576	12	12	0.000783579750120622	0.0102529823881159
Two.partner.secretion.pathway..TPS.	strep_exposure	Y	-0.752628691275312	0.15876081014874	12	12	0.000791337566868002	0.0102529823881159
Diadenylate.cyclase.cluster	strep_exposure	Y	0.876355256882363	0.185866306972867	12	12	0.000822675422456838	0.0105067403953773
CBSS.84588.1.peg.1247	strep_exposure	Y	0.210992326332541	0.0449664525832963	12	12	0.000851565552424162	0.0105736056092667
Synthesis.of.osmoregulated.periplasmic.glucans	strep_exposure	Y	-0.32403499740524	0.0689640520344146	12	12	0.000843346135036273	0.0105736056092667
Putative.hemin.transporter	strep_exposure	Y	-0.193947111709289	0.0415433094161926	12	12	0.000882748771104424	0.0108106493337994
Outer.membrane	strep_exposure	Y	-0.338191249478351	0.0730746803037463	12	12	0.000939006567465558	0.011344214477219
Arsenic.resistance	strep_exposure	Y	-0.305975923673139	0.066543659483901	12	12	0.000982941216710956	0.0116046173258338
CBSS.393130.3.peg.794	strep_exposure	Y	0.426680251573133	0.0928423832313696	12	12	0.000986522278258798	0.0116046173258338
Fe.S.cluster.assembly	strep_exposure	Y	0.155988011557688	0.0340435762317703	12	12	0.00100751688663706	0.0116976635929031
LMPTP.YwlE.cluster	strep_exposure	Y	0.254590433504557	0.055860958102066	12	12	0.00104603912616526	0.0119892176768172
CBSS.279010.5.peg.3195	strep_exposure	Y	0.574167892665208	0.126922900702743	12	12	0.00110194964870911	0.0124701643790626
Ferrous.iron.transporter.EfeUOB..low.pH.induced	strep_exposure	Y	0.468875939694142	0.105081897069899	12	12	0.00121235551149961	0.0135480728410081
Histidine.Biosynthesis	strep_exposure	Y	0.0999099368695074	0.0225617952573827	12	12	0.00127754699523825	0.0139668850164905
Phage.tail.proteins.2	strep_exposure	Y	-0.335184514264196	0.0757221637052919	12	12	0.00128107893887273	0.0139668850164905
KDO2.Lipid.A.biosynthesis	strep_exposure	Y	-0.174765664380103	0.0396063670579753	12	12	0.00130918072565241	0.0141012960088344
Menaquinone.biosynthesis.from.chorismate.via.1.4.dihydroxy.2.naphthoate	strep_exposure	Y	-0.147219006528578	0.0336479416164637	12	12	0.00138760590187423	0.0147680913842329
Hemin.transport.system	strep_exposure	Y	-0.351263560072622	0.0816188684314597	12	12	0.00155236637251059	0.0163272416120526
Transport.of.Manganese	strep_exposure	Y	0.323228636302226	0.0753392809287905	12	12	0.00158544251567556	0.0164812280117902
BOX..RUP.and.SPRITE.repeats.in.Streptococcus.pneumoniae	strep_exposure	Y	2.28430036761234	0.539132058786244	12	11	0.00172459716455258	0.0171309985012222
CBSS.243265.1.peg.198	strep_exposure	Y	0.309777835539707	0.0728794523640183	12	12	0.00168803567342962	0.0171309985012222
Lysozyme.inhibitors	strep_exposure	Y	-0.820665052227771	0.192750948765445	12	12	0.00166922907562032	0.0171309985012222
Murein.Hydrolases	strep_exposure	Y	0.188373854141574	0.0444516365444945	12	12	0.00172260712035037	0.0171309985012222
Carbon.Starvation	strep_exposure	Y	-0.172708471924507	0.0415065860215788	12	12	0.00194566537795665	0.0189447182025009
Curli.production	strep_exposure	Y	-0.833390132149411	0.200391276629265	12	12	0.00195241497065247	0.0189447182025009
L.fucose.utilization	strep_exposure	Y	-0.180628496129225	0.0434941003118838	12	12	0.00197075927609908	0.0189447182025009
Deoxyribose.and.Deoxynucleoside.Catabolism	strep_exposure	Y	0.250819970961622	0.0605919532746612	12	12	0.00201346278169003	0.0191493162428818
Lactose.and.Galactose.Uptake.and.Utilization	strep_exposure	Y	-0.0429452627384244	0.0104735415783242	12	12	0.00214335266328482	0.0201700766418592
Glutaredoxins	strep_exposure	Y	-0.069149880250962	0.0169201439156153	12	12	0.0021902473611702	0.0203966785508975
Biotin.biosynthesis	strep_exposure	Y	-0.156488817099902	0.0384807195351312	12	12	0.00226217480325008	0.0205252636579428
CBSS.393121.3.peg.2760	strep_exposure	Y	0.171652977075372	0.0422006614201961	12	12	0.00225905150030752	0.0205252636579428
DNA.repair..bacterial.DinG.and.relatives	strep_exposure	Y	0.213708827541835	0.052670548740677	12	12	0.00229589078947906	0.0205252636579428
Streptococcus.pneumoniae.Vancomycin.Tolerance.Locus	strep_exposure	Y	0.151330407099746	0.0372918516853485	12	12	0.0022939067005742	0.0205252636579428
Lactose.utilization	strep_exposure	Y	-0.0933513598615314	0.0231131601540263	12	12	0.00236546626242287	0.0207326160647652
Phenylalanine.and.Tyrosine.Branches.from.Chorismate	strep_exposure	Y	0.136459626275318	0.0337401809912475	12	12	0.00234448693856549	0.0207326160647652
Mycobacterium.virulence.operon.involved.in.DNA.transcription	strep_exposure	Y	0.111945037925532	0.0277591257476845	12	12	0.00238899684022187	0.0207355648073626
Alpha.Amylase.locus.in.Streptocococcus	strep_exposure	Y	0.234843174051425	0.0584617405088295	12	12	0.00245010153805406	0.0210614497598109
