feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Competence.in.Streptococci	treatment	S	2.50468257428762	0.130363732593758	12	12	5.58371769238074e-08	6.90401610897348e-05
Competence.in.Streptococci	treatment	FS	2.53298407136571	0.130363732593758	12	12	5.11237542031982e-08	6.90401610897348e-05
Late.competence	treatment	S	2.63003428164104	0.155115086559958	12	12	1.48537556351196e-07	6.90401610897348e-05
Late.competence	treatment	FS	2.6169078384096	0.155115086559958	12	12	1.54452261945715e-07	6.90401610897348e-05
SecY2.SecA2.Specialized.Transport.System	treatment	S	2.9554842363642	0.168783511781822	12	12	1.15491754757761e-07	6.90401610897348e-05
SecY2.SecA2.Specialized.Transport.System	treatment	FS	2.97638782811876	0.168783511781822	12	12	1.09300157687307e-07	6.90401610897348e-05
Sucrose.specific.PTS	treatment	S	3.03348323455264	0.216911854541854	12	12	6.62599314972857e-07	0.000253870194679601
Beta.lactamase.cluster.in.Streptococcus	treatment	FS	2.57970784266249	0.191585560640479	12	12	8.87205430045157e-07	0.000283538305906889
Sucrose.specific.PTS	treatment	FS	2.89429667558581	0.216911854541854	12	12	9.51470825190902e-07	0.000283538305906889
Beta.lactamase.cluster.in.Streptococcus	treatment	S	2.51478353404929	0.191585560640479	12	12	1.07926780667123e-06	0.000289459625749225
Urea.decomposition	treatment	FS	1.33322676475668	0.103501629079849	12	12	1.24713627597329e-06	0.000304074499287306
Urea.decomposition	treatment	S	1.31779892183305	0.103501629079849	12	12	1.36351145215586e-06	0.000304744809556835
Glutamate.transporter.involved.in.acid.tolerance.in.Streptococcus	treatment	S	2.44848726409906	0.216864482086546	12	12	3.40666825949466e-06	0.000702821867074206
Urease.subunits	treatment	S	1.57430440702362	0.142591706543221	12	12	4.03484218582116e-06	0.000772960481598025
Glutamate.transporter.involved.in.acid.tolerance.in.Streptococcus	treatment	FS	2.32787126494095	0.216864482086546	12	12	4.98936997762987e-06	0.00089209935200022
Gram.Positive.Competence	treatment	FS	1.9905668075407	0.187668877520589	12	12	5.4585802523591e-06	0.000914994514801694
Urease.subunits	treatment	FS	1.48006522156498	0.142591706543221	12	12	6.42204835923994e-06	0.00101317257055774
Gram.Positive.Competence	treatment	S	1.85848864953501	0.187668877520589	12	12	9.12835846992944e-06	0.00136012541201949
acinetobacter.tca	treatment	FS	-0.258432090475887	0.0267705621852521	12	12	1.10370714025737e-05	0.0015579697632475
Control.of.cell.elongation...division.cycle.in.Bacilli	treatment	S	1.79169262902199	0.191851922692112	12	12	1.41100275050452e-05	0.00172014062584233
Control.of.cell.elongation...division.cycle.in.Bacilli	treatment	FS	1.81418409902749	0.191851922692112	12	12	1.28656019974107e-05	0.00172014062584233
acinetobacter.tca	treatment	S	-0.250743886157582	0.0267705621852521	12	12	1.38068452610491e-05	0.00172014062584233
A.Gram.positive.cluster.that.relates.ribosomal.protein.L28P.to.a.set.of.uncharacterized.proteins	treatment	FS	0.474135625297308	0.0537301713068916	12	12	2.14150952415181e-05	0.0024971863233805
Archaeal.lipids	treatment	FS	1.69798232968224	0.198467940614798	12	12	2.68511521005243e-05	0.00300061624723359
A.Gram.positive.cluster.that.relates.ribosomal.protein.L28P.to.a.set.of.uncharacterized.proteins	treatment	S	0.448228215320026	0.0537301713068916	12	12	3.22617286073232e-05	0.00311953933377047
HtrA.and.Sec.secretion	treatment	FS	1.25781119469895	0.150973204289523	12	12	3.25678975934277e-05	0.00311953933377047
IojapClusters	treatment	S	0.216916346478949	0.0258567920409466	12	12	3.09740022599249e-05	0.00311953933377047
IojapClusters	treatment	FS	0.218163147658962	0.0258567920409466	12	12	2.97103399153338e-05	0.00311953933377047
Archaeal.lipids	treatment	S	1.63711571275343	0.198467940614798	12	12	3.50064443891743e-05	0.00316720415759917
CBSS.262719.3.peg.410	treatment	S	0.417769683619236	0.0507993837285317	12	12	3.57795622192887e-05	0.00316720415759917
Polyglycerolphosphate.lipoteichoic.acid.biosynthesis	treatment	S	1.28246176643927	0.156437334893313	12	12	3.66082508894758e-05	0.00316720415759917
CBSS.262719.3.peg.410	treatment	FS	0.41053341997923	0.0507993837285317	12	12	4.05938880613554e-05	0.00340227524314235
Capsular.surface.virulence.antigen.loci	treatment	FS	-1.01442837911479	0.128303322744097	12	12	4.7520540894978e-05	0.00359500994633723
Chitin.and.N.acetylglucosamine.utilization	treatment	FS	-0.187590848045023	0.023667204994827	12	12	4.66782885361753e-05	0.00359500994633723
HtrA.and.Sec.secretion	treatment	S	1.19111975667407	0.150973204289523	12	12	4.82551670649293e-05	0.00359500994633723
