feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
UNINTEGRATED.g__Bacteroides.s__Bacteroides_cellulosilyticus	strep_exposure	Y	0.75382229587016	0.410700343086662	12	11	0.0963123685592656	0.531045818582212
UNINTEGRATED.g__Bacteroides.s__Bacteroides_faecis	strep_exposure	Y	0.367190387531608	0.233707707082236	12	2	0.147221269034793	0.531045818582212
UNINTEGRATED.g__Bacteroides.s__Bacteroides_finegoldii	strep_exposure	Y	0.841829291415103	0.426775248157613	12	3	0.076820104981477	0.531045818582212
UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis	strep_exposure	Y	0.733413636209605	0.334703675210074	12	5	0.0532248356401298	0.531045818582212
UNINTEGRATED.g__Bacteroides.s__Bacteroides_intestinalis	strep_exposure	Y	-0.93074326820632	0.644428883595064	12	9	0.179248644709772	0.531045818582212
UNINTEGRATED.g__Bacteroides.s__Bacteroides_uniformis	strep_exposure	Y	-0.148980090771168	0.0942387231848952	12	12	0.144986704244098	0.531045818582212
UNINTEGRATED.g__Bifidobacterium.s__Bifidobacterium_adolescentis	strep_exposure	Y	-0.221357101784834	0.0623456228534249	12	12	0.00526400375758208	0.531045818582212
UNINTEGRATED.g__Blautia.s__Blautia_obeum	strep_exposure	Y	-0.102660989257456	0.060633414940496	12	12	0.121296922013054	0.531045818582212
UNINTEGRATED.g__Blautia.s__Ruminococcus_torques	strep_exposure	Y	-0.110716195180563	0.0746923305400368	12	12	0.169073805787907	0.531045818582212
UNINTEGRATED.g__Catenibacterium.s__Catenibacterium_mitsuokai	strep_exposure	Y	-0.216342875442458	0.0917613744386127	12	12	0.0401125138332386	0.531045818582212
UNINTEGRATED.g__Dialister.s__Dialister_succinatiphilus	strep_exposure	Y	0.638516102045797	0.418878813456909	12	6	0.158402850657945	0.531045818582212
UNINTEGRATED.g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	strep_exposure	Y	1.11219004726589	0.47286734818442	12	8	0.0405013588038393	0.531045818582212
UNINTEGRATED.g__Megamonas.s__Megamonas_hypermegale	strep_exposure	Y	0.589842522582278	0.385304410663666	12	4	0.156806264226404	0.531045818582212
UNINTEGRATED.g__Parabacteroides.s__Parabacteroides_distasonis	strep_exposure	Y	1.01090846008815	0.367200350315967	12	6	0.0203725188438438	0.531045818582212
UNINTEGRATED.g__Roseburia.s__Roseburia_faecis	strep_exposure	Y	-0.174294098044474	0.0748898491434152	12	12	0.0422412810576138	0.531045818582212
UNINTEGRATED.g__Ruminococcus.s__Ruminococcus_bicirculans	strep_exposure	Y	1.27493233672647	0.310115502586992	12	9	0.00210666428977527	0.531045818582212
UNINTEGRATED.g__Ruminococcus.s__Ruminococcus_bromii	strep_exposure	Y	-0.220463630182896	0.0762321857377798	12	12	0.0160520237192296	0.531045818582212
UNINTEGRATED.g__Ruminococcus.s__Ruminococcus_lactaris	strep_exposure	Y	0.339835117194851	0.214989596649616	12	2	0.145026599119885	0.531045818582212
UNINTEGRATED.g__Streptococcus.s__Streptococcus_equinus	strep_exposure	Y	1.0444151837637	0.422794773907438	12	10	0.0330898373981055	0.531045818582212
UNINTEGRATED.g__Streptococcus.s__Streptococcus_pneumoniae	strep_exposure	Y	1.23645131246043	0.44991600659122	12	9	0.0205422228299986	0.531045818582212
UNINTEGRATED.g__Streptococcus.s__Streptococcus_salivarius	strep_exposure	Y	1.76829738368572	0.524632901373083	12	10	0.0071149288182277	0.531045818582212
UNINTEGRATED.g__Streptococcus.s__Streptococcus_vestibularis	strep_exposure	Y	1.34416140022909	0.563753271570307	12	5	0.0383294139389433	0.531045818582212
X1CMET2.PWY..folate.transformations.III..E..coli..g__Catenibacterium.s__Catenibacterium_mitsuokai	strep_exposure	Y	0.35907986941819	0.227976032777081	12	2	0.146315992540344	0.531045818582212
ANAEROFRUCAT.PWY..homolactic.fermentation.g__Catenibacterium.s__Catenibacterium_mitsuokai	strep_exposure	Y	0.353204289819225	0.223915656187058	12	2	0.145782867645294	0.531045818582212
ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose..g__Blautia.s__Ruminococcus_torques	strep_exposure	Y	-0.383729511763387	0.125100295530375	12	12	0.0118939394475025	0.531045818582212
ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose..g__Roseburia.s__Roseburia_hominis	strep_exposure	Y	0.384265797179013	0.246212409672392	12	2	0.149654136041538	0.531045818582212
ARGININE.SYN4.PWY..L.ornithine.biosynthesis.II.g__Bacteroides.s__Bacteroides_dorei	strep_exposure	Y	0.463958785164066	0.286234478715132	12	12	0.136105209735629	0.531045818582212
ARGININE.SYN4.PWY..L.ornithine.biosynthesis.II.g__Bacteroides.s__Bacteroides_eggerthii	strep_exposure	Y	0.701390993683995	0.328865869811573	12	3	0.05874775282796	0.531045818582212
ARGININE.SYN4.PWY..L.ornithine.biosynthesis.II.g__Bacteroides.s__Bacteroides_ovatus	strep_exposure	Y	0.987486763313461	0.529281441967566	12	3	0.0916513596927255	0.531045818582212
ARGININE.SYN4.PWY..L.ornithine.biosynthesis.II.g__Bacteroides.s__Bacteroides_stercoris	strep_exposure	Y	0.405700463139465	0.262639195860893	12	2	0.15345046329163	0.531045818582212
ARGININE.SYN4.PWY..L.ornithine.biosynthesis.II.g__Bacteroides.s__Bacteroides_xylanisolvens	strep_exposure	Y	0.524225181453412	0.234979042281487	12	3	0.0497627183676534	0.531045818582212
ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine..g__Blautia.s__Blautia_obeum	strep_exposure	Y	-0.423191255763316	0.28449470129825	12	12	0.167715462915255	0.531045818582212
ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine..g__Roseburia.s__Roseburia_faecis	strep_exposure	Y	0.581791909934398	0.397748605641051	12	5	0.174252892372552	0.531045818582212
ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle..g__Anaerostipes.s__Anaerostipes_hadrus	strep_exposure	Y	0.348433515683687	0.220678896238147	12	2	0.145435304474952	0.531045818582212
ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle..g__Bifidobacterium.s__Bifidobacterium_longum	strep_exposure	Y	0.42579581667422	0.27865824497805	12	2	0.157498535448456	0.531045818582212
ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle..g__Blautia.s__Ruminococcus_torques	strep_exposure	Y	-0.223352238851237	0.115791216110092	12	12	0.0825815404196115	0.531045818582212
ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle..g__Dorea.s__Dorea_longicatena	strep_exposure	Y	0.363514653178023	0.231092424087417	12	2	0.146788226368046	0.531045818582212
ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle..g__Roseburia.s__Roseburia_faecis	strep_exposure	Y	0.598010988247785	0.352884167950934	12	5	0.121006181821319	0.531045818582212
ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle..g__Roseburia.s__Roseburia_hominis	strep_exposure	Y	0.375560841509262	0.239767128143348	12	2	0.148334029998322	0.531045818582212
ARO.PWY..chorismate.biosynthesis.I.g__Bacteroides.s__Bacteroides_vulgatus	strep_exposure	Y	0.409051498484041	0.277659462484425	12	10	0.171459272763375	0.531045818582212
ARO.PWY..chorismate.biosynthesis.I.g__Bifidobacterium.s__Bifidobacterium_longum	strep_exposure	Y	0.426593119518643	0.279304687536498	12	2	0.15766596288235	0.531045818582212
ARO.PWY..chorismate.biosynthesis.I.g__Blautia.s__Blautia_wexlerae	strep_exposure	Y	-0.282589027159187	0.184529872197039	12	12	0.156671426663966	0.531045818582212
