feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
NONOXIPENT.PWY..pentose.phosphate.pathway..non.oxidative.branch..I.g__Streptococcus.s__Streptococcus_salivarius	strep_exposure	Y	5.0583859242327	0.199101128094826	12	7	2.04698003325047e-10	1.10468001539333e-07
PWY.6151..S.adenosyl.L.methionine.salvage.I.g__Streptococcus.s__Streptococcus_salivarius	strep_exposure	Y	5.60862837300341	0.215481182565032	12	7	1.61234626705095e-10	1.10468001539333e-07
PWY.7238..sucrose.biosynthesis.II.g__Streptococcus.s__Streptococcus_salivarius	strep_exposure	Y	5.84771594609488	0.212545197300697	12	7	9.32448013024899e-11	1.10468001539333e-07
PWY.8178..pentose.phosphate.pathway..non.oxidative.branch..II.g__Streptococcus.s__Streptococcus_salivarius	strep_exposure	Y	4.98731099604672	0.200588454945012	12	7	2.53250805913188e-10	1.10468001539333e-07
UDPNAGSYN.PWY..UDP.N.acetyl.D.glucosamine.biosynthesis.I.g__Streptococcus.s__Streptococcus_equinus	strep_exposure	Y	5.45459615192568	0.20268619514853	12	7	1.15989183225114e-10	1.10468001539333e-07
PWY.4041...gamma..glutamyl.cycle.g__Streptococcus.s__Streptococcus_salivarius	strep_exposure	Y	5.24015872232169	0.229614411262672	12	7	5.88554837081637e-10	2.13939683279175e-07
PWY.5667..CDP.diacylglycerol.biosynthesis.I.g__Streptococcus.s__Streptococcus_pneumoniae	strep_exposure	Y	4.00475721841303	0.187318834595972	12	7	1.11703890975348e-09	3.04532732771542e-07
PWY0.1319..CDP.diacylglycerol.biosynthesis.II.g__Streptococcus.s__Streptococcus_pneumoniae	strep_exposure	Y	4.00475721841303	0.187318834595972	12	7	1.11703890975348e-09	3.04532732771542e-07
HSERMETANA.PWY..L.methionine.biosynthesis.III.g__Streptococcus.s__Streptococcus_pneumoniae	strep_exposure	Y	4.77962222747659	0.234937074717535	12	7	1.81615315407394e-09	4.01477829987586e-07
PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate.g__Streptococcus.s__Streptococcus_pneumoniae	strep_exposure	Y	4.31609182945929	0.212445219924932	12	7	1.84079701965881e-09	4.01477829987586e-07
PWY.7851..coenzyme.A.biosynthesis.II..eukaryotic..g__Streptococcus.s__Streptococcus_equinus	strep_exposure	Y	1.2190703147154	0.0615331638801185	12	6	2.35406993349858e-09	4.66747865905491e-07
PWY0.1296..purine.ribonucleosides.degradation.g__Streptococcus.s__Streptococcus_salivarius	strep_exposure	Y	5.49171114579818	0.279729872650957	12	8	2.57287112364257e-09	4.67619326722037e-07
P41.PWY..pyruvate.fermentation.to.acetate.and..S..lactate.I.g__Streptococcus.s__Streptococcus_equinus	strep_exposure	Y	5.12186550487934	0.283636829357913	12	8	5.81177383581849e-09	6.93588797050383e-07
PWY.5100..pyruvate.fermentation.to.acetate.and.lactate.II.g__Streptococcus.s__Streptococcus_equinus	strep_exposure	Y	5.12186550487934	0.283636829357913	12	8	5.81177383581849e-09	6.93588797050383e-07
PWY.5667..CDP.diacylglycerol.biosynthesis.I.g__Streptococcus.s__Streptococcus_salivarius	strep_exposure	Y	4.04688477838884	0.22114522567933	12	7	5.10608121178258e-09	6.93588797050383e-07
PWY.6151..S.adenosyl.L.methionine.salvage.I.g__Streptococcus.s__Streptococcus_pneumoniae	strep_exposure	Y	3.7331520710017	0.204037602131726	12	7	5.11499296792802e-09	6.93588797050383e-07
PWY.I9..L.cysteine.biosynthesis.VI..from.L.methionine..g__Streptococcus.s__Streptococcus_pneumoniae	strep_exposure	Y	3.82956713066602	0.205209125522241	12	7	4.21900814549886e-09	6.93588797050383e-07
PWY0.1319..CDP.diacylglycerol.biosynthesis.II.g__Streptococcus.s__Streptococcus_salivarius	strep_exposure	Y	4.04688477838884	0.22114522567933	12	7	5.10608121178258e-09	6.93588797050383e-07
PWY4FS.7..phosphatidylglycerol.biosynthesis.I..plastidic..g__Streptococcus.s__Streptococcus_pneumoniae	strep_exposure	Y	1.3784198212791	0.0770448509243399	12	6	6.36028241219975e-09	6.93588797050383e-07
PWY4FS.8..phosphatidylglycerol.biosynthesis.II..non.plastidic..g__Streptococcus.s__Streptococcus_pneumoniae	strep_exposure	Y	1.3784198212791	0.0770448509243399	12	6	6.36028241219975e-09	6.93588797050383e-07
PWY.6936..seleno.amino.acid.biosynthesis..plants..g__Streptococcus.s__Streptococcus_equinus	strep_exposure	Y	4.47353091306207	0.251852820907063	12	8	6.82247954183643e-09	7.08563232416441e-07
VALSYN.PWY..L.valine.biosynthesis.g__Streptococcus.s__Streptococcus_salivarius	strep_exposure	Y	5.51233728118299	0.319703696054772	12	8	9.1065061070038e-09	9.02785900880695e-07
PWY.621..sucrose.degradation.III..sucrose.invertase..g__Streptococcus.s__Streptococcus_equinus	strep_exposure	Y	4.19157503237852	0.244465690989921	12	7	9.61415257167847e-09	9.1167246777525e-07
PWY.702..L.methionine.biosynthesis.II.g__Streptococcus.s__Streptococcus_salivarius	strep_exposure	Y	4.75141074387923	0.28105694787409	12	7	1.10241903725654e-08	1.00182330010688e-06
PWY0.1586..peptidoglycan.maturation..meso.diaminopimelate.containing..g__Streptococcus.s__Streptococcus_equinus	strep_exposure	Y	5.55968736827064	0.340138766407252	12	7	1.52756246394354e-08	1.28138989763879e-06
VALSYN.PWY..L.valine.biosynthesis.g__Streptococcus.s__Streptococcus_pneumoniae	strep_exposure	Y	4.49367145979913	0.27464049333248	12	8	1.51258631651026e-08	1.28138989763879e-06
PWY.6123..inosine.5..phosphate.biosynthesis.I.g__Streptococcus.s__Streptococcus_equinus	strep_exposure	Y	4.15221190890316	0.257049884534664	12	8	1.71239062143645e-08	1.38323109087145e-06
PWY.822..fructan.biosynthesis.g__Streptococcus.s__Streptococcus_equinus	strep_exposure	Y	4.23049489225308	0.267716970420548	12	9	2.11724030235595e-08	1.63361424731997e-06
PWY0.1586..peptidoglycan.maturation..meso.diaminopimelate.containing..g__Streptococcus.s__Streptococcus_salivarius	strep_exposure	Y	5.82525164535121	0.369617399018523	12	8	2.17216016379088e-08	1.63361424731997e-06
PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis.g__Streptococcus.s__Streptococcus_vestibularis	strep_exposure	Y	4.22406376206642	0.272241467281803	12	7	2.52526887371401e-08	1.83587047119009e-06
PWY.5695..inosine.5..phosphate.degradation.g__Streptococcus.s__Streptococcus_salivarius	strep_exposure	Y	1.36627684599395	0.0891883741402886	12	6	2.85569232195231e-08	2.00911772715419e-06
PWY0.1297..superpathway.of.purine.deoxyribonucleosides.degradation.g__Streptococcus.s__Streptococcus_salivarius	strep_exposure	Y	4.76200812713497	0.317946584037209	12	7	3.54735305910693e-08	2.41774281934757e-06
PWY.6124..inosine.5..phosphate.biosynthesis.II.g__Streptococcus.s__Streptococcus_equinus	strep_exposure	Y	4.31321179598959	0.289972757734563	12	8	3.79008766274321e-08	2.50490339164938e-06
PWY.3841..folate.transformations.II..plants..g__Streptococcus.s__Streptococcus_pneumoniae	strep_exposure	Y	4.44593566216122	0.303340333144722	12	8	4.36693030156272e-08	2.80125734932597e-06
COA.PWY..coenzyme.A.biosynthesis.I..prokaryotic..g__Streptococcus.s__Streptococcus_equinus	strep_exposure	Y	1.33173503424393	0.0916965082393157	12	6	4.76675816520618e-08	2.88786098842074e-06
PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis.g__Streptococcus.s__Streptococcus_salivarius	strep_exposure	Y	3.76096725580276	0.258706539767096	12	7	4.7220337621223e-08	2.88786098842074e-06
PWY.5981..CDP.diacylglycerol.biosynthesis.III.g__Streptococcus.s__Streptococcus_salivarius	strep_exposure	Y	1.29484225643635	0.0900951964339608	12	6	5.27003176792103e-08	3.10647007725291e-06
GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose..g__Streptococcus.s__Streptococcus_pneumoniae	strep_exposure	Y	4.31289479164157	0.310952470885013	12	8	7.40373076122011e-08	4.24935178690028e-06
GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose..g__Streptococcus.s__Streptococcus_salivarius	strep_exposure	Y	5.46678820787605	0.402975748488548	12	8	9.14559298319383e-08	5.11449699906301e-06
PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing..g__Streptococcus.s__Streptococcus_pneumoniae	strep_exposure	Y	1.27840883384311	0.0966917637654027	12	6	1.16823381338285e-07	6.36979486746998e-06
PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria..g__Streptococcus.s__Streptococcus_salivarius	strep_exposure	Y	1.21967188681131	0.0925893086481938	12	6	1.20980361256817e-07	6.43556507075896e-06
GLUTORN.PWY..L.ornithine.biosynthesis.I.g__Streptococcus.s__Streptococcus_salivarius	strep_exposure	Y	1.29809959199497	0.100789745810099	12	6	1.49837582686023e-07	7.78085161519564e-06
PWY.6317..D.galactose.degradation.I..Leloir.pathway..g__Streptococcus.s__Streptococcus_pneumoniae	strep_exposure	Y	1.43479247219445	0.111890241111198	12	6	1.56162321380322e-07	7.92069820768562e-06
ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle..g__Streptococcus.s__Streptococcus_salivarius	strep_exposure	Y	1.35831802320904	0.106294785938582	12	6	1.61381867040554e-07	7.99940572762384e-06
PWY.5981..CDP.diacylglycerol.biosynthesis.III.g__Streptococcus.s__Streptococcus_pneumoniae	strep_exposure	Y	1.42733029547915	0.111969001860376	12	6	1.65165406140063e-07	8.00501668425505e-06
ARO.PWY..chorismate.biosynthesis.I.g__Streptococcus.s__Streptococcus_salivarius	strep_exposure	Y	1.35908212142154	0.108111784211958	12	6	1.88450429865366e-07	8.56271640700757e-06
