feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales.f__Fusobacteriaceae.g__Fusobacterium.s__Fusobacterium_nucleatum	treatment	F	5.08634714656455	0.581211369864958	36	15	9.2841303322942e-10	7.77081708813024e-07
k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales.f__Fusobacteriaceae.g__Fusobacterium.s__Fusobacterium_nucleatum.t__SGB6011	treatment	F	5.08634714656455	0.581211369864958	36	15	9.2841303322942e-10	7.77081708813024e-07
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_salivarius	treatment	FS	2.35599360609667	0.403018975736489	36	36	2.14674644710382e-06	0.000698521766028467
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_salivarius	treatment	S	2.33390259113079	0.403018975736489	36	36	2.50366224382963e-06	0.000698521766028467
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_salivarius.t__SGB8007_group	treatment	FS	2.35599360609667	0.403018975736489	36	36	2.14674644710382e-06	0.000698521766028467
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_salivarius.t__SGB8007_group	treatment	S	2.33390259113079	0.403018975736489	36	36	2.50366224382963e-06	0.000698521766028467
k__Bacteria.p__Firmicutes	treatment	FS	0.213977087094718	0.041260849005855	36	36	1.37784552885785e-05	0.00256279268367559
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	treatment	FS	2.2254903629512	0.426209421230471	36	36	1.24593295578924e-05	0.00256279268367559
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	treatment	FS	2.2254903629512	0.426209421230471	36	36	1.24593295578924e-05	0.00256279268367559
k__Bacteria.p__Firmicutes	treatment	S	0.209583410166233	0.0412608490058549	36	36	1.86133437120336e-05	0.00275763341018283
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	treatment	S	2.13257097415871	0.426209421230471	36	36	2.30626450075028e-05	0.00275763341018283
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	treatment	S	2.13257097415871	0.426209421230471	36	36	2.30626450075028e-05	0.00275763341018283
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.s__Bifidobacterium_longum	treatment	FS	-0.359304337629707	0.0710451390913403	36	36	1.98101771889871e-05	0.00275763341018283
