"","metacyc","detail","V3"
"1","1CMET2-PWY"," folate transformations III (E. coli)","Biosynthesis|Cofactor-Biosynthesis|Vitamin-Biosynthesis|Folate-Biosynthesis"
"2","3-HYDROXYPHENYLACETATE-DEGRADATION-PWY"," 4-hydroxyphenylacetate degradation","Degradation|AROMATIC-COMPOUNDS-DEGRADATION"
"3","ANAEROFRUCAT-PWY"," homolactic fermentation","Energy-Metabolism|Fermentation"
"4","ANAGLYCOLYSIS-PWY"," glycolysis III (from glucose)","Energy-Metabolism|GLYCOLYSIS-VARIANTS"
"5","ARG+POLYAMINE-SYN"," superpathway of arginine and polyamine biosynthesis",NA
"6","ARGININE-SYN4-PWY"," L-ornithine biosynthesis II","Biosynthesis|Amino-Acid-Biosynthesis|Other-Amino-Acid-Biosynthesis"
"7","ARGSYN-PWY"," L-arginine biosynthesis I (via L-ornithine)","Super-Pathways"
"8","ARGSYNBSUB-PWY"," L-arginine biosynthesis II (acetyl cycle)","Biosynthesis|Amino-Acid-Biosynthesis|IND-AMINO-ACID-SYN|ARGININE-SYN"
"9","ARO-PWY"," chorismate biosynthesis I","Biosynthesis|AROMATIC-COMPOUNDS-BIOSYN|Chorismate-Biosynthesis"
"10","ASPASN-PWY"," superpathway of L-aspartate and L-asparagine biosynthesis","Biosynthesis|Amino-Acid-Biosynthesis"
"11","AST-PWY"," L-arginine degradation II (AST pathway)","Degradation|Amino-Acid-Degradation|Proteinogenic-Amino-Acids-Degradation|ARGININE-DEG"
"12","BIOTIN-BIOSYNTHESIS-PWY"," biotin biosynthesis I","Biosynthesis|Cofactor-Biosynthesis|Vitamin-Biosynthesis|BIOTIN-SYN"
"13","BRANCHED-CHAIN-AA-SYN-PWY"," superpathway of branched chain amino acid biosynthesis","Biosynthesis|Amino-Acid-Biosynthesis"
"14","CALVIN-PWY"," Calvin-Benson-Bassham cycle","Degradation|C1-COMPOUNDS|CO2-Fixation|Autotrophic-CO2-Fixation"
"15","CARNMET-PWY"," L-carnitine degradation I","Degradation|AMINE-DEG|CARN-DEG"
"16","CITRULBIO-PWY"," L-citrulline biosynthesis","Biosynthesis|Amino-Acid-Biosynthesis|Other-Amino-Acid-Biosynthesis|Citrulline-Biosynthesis"
"17","COA-PWY-1"," superpathway of coenzyme A biosynthesis III (mammals)","Biosynthesis|Cofactor-Biosynthesis|CoA-Biosynthesis"
"18","COA-PWY"," coenzyme A biosynthesis I (prokaryotic)","Biosynthesis|Cofactor-Biosynthesis|CoA-Biosynthesis"
"19","COBALSYN-PWY"," superpathway of adenosylcobalamin salvage from cobinamide I","Biosynthesis|Cofactor-Biosynthesis|Vitamin-Biosynthesis|Cobalamin-Biosynthesis|Adenosylcobalamin-Biosynthesis"
"20","COLANSYN-PWY"," colanic acid building blocks biosynthesis","Super-Pathways"
"21","COMPLETE-ARO-PWY"," superpathway of aromatic amino acid biosynthesis","Biosynthesis|Amino-Acid-Biosynthesis"
"22","DAPLYSINESYN-PWY"," L-lysine biosynthesis I","Biosynthesis|Amino-Acid-Biosynthesis|IND-AMINO-ACID-SYN|LYSINE-SYN"
"23","DARABCATK12-PWY"," D-arabinose degradation I","Degradation|Carbohydrates-Degradation|Sugars-And-Polysaccharides-Degradation|D-Arabinose-Degradation"
"24","DTDPRHAMSYN-PWY"," dTDP-&beta;-L-rhamnose biosynthesis","Biosynthesis|Carbohydrates-Biosynthesis|CARBO-BIOSYNTHESIS|SUGAR-NUCLEOTIDES|dTDP-Sugar-Biosynthesis|dTDP-L-Rhamnose-Biosynthesis"
"25","ECASYN-PWY"," enterobacterial common antigen biosynthesis","Biosynthesis|Cell-Structure-Biosynthesis"
"26","FAO-PWY"," fatty acid &beta;-oxidation I (generic)","Degradation|Fatty-Acid-and-Lipid-Degradation|Fatty-Acid-Degradation"
"27","FASYN-ELONG-PWY"," fatty acid elongation -- saturated","Biosynthesis|Lipid-Biosynthesis|Fatty-acid-biosynthesis"
"28","FERMENTATION-PWY"," mixed acid fermentation","Energy-Metabolism|Fermentation"
"29","FOLSYN-PWY"," superpathway of tetrahydrofolate biosynthesis and salvage","Super-Pathways"
