"sample_name","sample_id","treatment","replicate","treatment_replicate","timepoint","exp_group","richness","shannon","simpson","inv_simpson"
"ENRIQ_1_S2_L001","ENRIQ_1","B",1,"B_1","T_0","B_T_0",270,4.67046865388229,0.98496917038024,66.5299271761688
"ENRIQ_10_S11_L001","ENRIQ_10","FS",1,"FS_1","T_0","FS_T_0",330,4.75530724035721,0.985390161619286,68.4470268555531
"ENRIQ_11_S12_L001","ENRIQ_11","FS",2,"FS_2","T_0","FS_T_0",264,4.64922464059207,0.984686801115452,65.3031419195566
"ENRIQ_12_S13_L001","ENRIQ_12","FS",3,"FS_3","T_0","FS_T_0",350,4.78834135266435,0.986008575755567,71.4723521015286
"ENRIQ_13_S14_L001","ENRIQ_13","B",1,"B_1","T_6","B_T_6",292,4.39862512523445,0.978067937594072,45.5953471904082
"ENRIQ_14_S15_L001","ENRIQ_14","B",2,"B_2","T_6","B_T_6",170,4.06002991733046,0.971566935413167,35.1703206999042
"ENRIQ_15_S16_L001","ENRIQ_15","B",3,"B_3","T_6","B_T_6",267,4.23820823699857,0.973101587093314,37.1769146183136
"ENRIQ_16_S17_L001","ENRIQ_16","F",1,"F_1","T_6","F_T_6",225,4.19095849343706,0.972619222363353,36.5219722124176
"ENRIQ_17_S18_L001","ENRIQ_17","F",2,"F_2","T_6","F_T_6",224,4.20968981325509,0.974444297492092,39.1302097717944
"ENRIQ_18_S19_L001","ENRIQ_18","F",3,"F_3","T_6","F_T_6",292,4.32570994066657,0.974899620820636,39.8400355968375
"ENRIQ_19_S20_L001","ENRIQ_19","S",1,"S_1","T_6","S_T_6",264,4.27071169300858,0.974619990550997,39.4010885618196
"ENRIQ_2_S3_L001","ENRIQ_2","B",2,"B_2","T_0","B_T_0",212,4.4858474422729,0.982565192113845,57.3565253216298
"ENRIQ_20_S21_L001","ENRIQ_20","S",2,"S_2","T_6","S_T_6",302,4.36979476190211,0.97699309059757,43.4652035398717
"ENRIQ_21_S22_L001","ENRIQ_21","S",3,"S_3","T_6","S_T_6",220,4.17153093576591,0.973269203690503,37.4100340454399
"ENRIQ_22_S23_L001","ENRIQ_22","FS",1,"FS_1","T_6","FS_T_6",207,4.18179733080976,0.975169114471785,40.272426002034
"ENRIQ_23_S24_L001","ENRIQ_23","FS",2,"FS_2","T_6","FS_T_6",222,4.1644638216289,0.973370828968355,37.5528024815966
"ENRIQ_24_S25_L001","ENRIQ_24","FS",3,"FS_3","T_6","FS_T_6",246,4.16123633462159,0.9714031942688,34.9689405662874
"ENRIQ_25_S26_L001","ENRIQ_25","B",1,"B_1","T_24","B_T_24",327,4.54870909602478,0.982030455395538,55.6497130011696
"ENRIQ_26_S27_L001","ENRIQ_26","B",2,"B_2","T_24","B_T_24",111,3.94029405935291,0.973171494960724,37.2737876574205
"ENRIQ_27_S28_L001","ENRIQ_27","B",3,"B_3","T_24","B_T_24",342,4.55121850781009,0.981446383570333,53.8978480982835
"ENRIQ_28_S29_L001","ENRIQ_28","F",1,"F_1","T_24","F_T_24",274,4.3560055115438,0.977408777387695,44.26497924266
"ENRIQ_29_S30_L001","ENRIQ_29","F",2,"F_2","T_24","F_T_24",239,4.41362455236495,0.980313135749426,50.7952910769343
"ENRIQ_3_S4_L001","ENRIQ_3","B",3,"B_3","T_0","B_T_0",235,4.54716274522395,0.982806596312663,58.1618403304576
"ENRIQ_30_S31_L001","ENRIQ_30","F",3,"F_3","T_24","F_T_24",218,4.30777977305206,0.977540309284662,44.5242106257989
"ENRIQ_31_S32_L001","ENRIQ_31","S",1,"S_1","T_24","S_T_24",194,4.21952810707398,0.975846491866551,41.4018532825521
"ENRIQ_32_S33_L001","ENRIQ_32","S",2,"S_2","T_24","S_T_24",291,4.5065599600708,0.981360814541458,53.6504131161867
"ENRIQ_33_S34_L001","ENRIQ_33","S",3,"S_3","T_24","S_T_24",277,4.4032326782664,0.977791951978362,45.0287210756051
"ENRIQ_34_S35_L001","ENRIQ_34","FS",1,"FS_1","T_24","FS_T_24",335,4.57609737590185,0.982383871696244,56.7661623914724
"ENRIQ_35_S36_L001","ENRIQ_35","FS",2,"FS_2","T_24","FS_T_24",271,4.43095813610978,0.979545095569826,48.8880309078754
"ENRIQ_36_S37_L001","ENRIQ_36","FS",3,"FS_3","T_24","FS_T_24",378,4.52671837043372,0.979017406077493,47.6585499244379
"ENRIQ_4_S5_L001","ENRIQ_4","F",1,"F_1","T_0","F_T_0",241,4.57130457277666,0.98371059787198,61.389607312833
"ENRIQ_5_S6_L001","ENRIQ_5","F",2,"F_2","T_0","F_T_0",223,4.53280698380168,0.983019212228138,58.8900829240109
"ENRIQ_6_S7_L001","ENRIQ_6","F",3,"F_3","T_0","F_T_0",246,4.59574054438077,0.983624141284822,61.0654999773015
"ENRIQ_7_S8_L001","ENRIQ_7","S",1,"S_1","T_0","S_T_0",218,4.4702180373819,0.98184731389455,55.0882659563963
"ENRIQ_8_S9_L001","ENRIQ_8","S",2,"S_2","T_0","S_T_0",224,4.50725790333673,0.982747974927179,57.9642097538673
"ENRIQ_9_S10_L001","ENRIQ_9","S",3,"S_3","T_0","S_T_0",400,4.86895855384704,0.986692439497072,75.1452529394802
