"","pathway","genus","species","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero","plog","plogn"
"1","NONOXIPENT.PWY..pentose.phosphate.pathway..non.oxidative.branch..I.g","Streptococcus","Streptococcus_salivarius","strep_exposure","Y",5.0583859242327,0.199101128094826,2.04698003325047e-10,"strep_exposureY",1.10468001539333e-07,12,7,22.3094853774611,2.22395242721323
"2","PWY.6151..S.adenosyl.L.methionine.salvage.I.g","Streptococcus","Streptococcus_salivarius","strep_exposure","Y",5.60862837300341,0.215481182565032,1.61234626705095e-10,"strep_exposureY",1.10468001539333e-07,12,7,22.5481605030606,2.26822137186545
"3","PWY.7238..sucrose.biosynthesis.II.g","Streptococcus","Streptococcus_salivarius","strep_exposure","Y",5.84771594609488,0.212545197300697,9.32448013024899e-11,"strep_exposureY",1.10468001539333e-07,12,7,23.0957928090661,2.36979502426607
"4","PWY.8178..pentose.phosphate.pathway..non.oxidative.branch..II.g","Streptococcus","Streptococcus_salivarius","strep_exposure","Y",4.98731099604672,0.200588454945012,2.53250805913188e-10,"strep_exposureY",1.10468001539333e-07,12,7,22.0966407905217,2.18447447484985
"5","UDPNAGSYN.PWY..UDP.N.acetyl.D.glucosamine.biosynthesis.I.g","Streptococcus","Streptococcus_equinus","strep_exposure","Y",5.45459615192568,0.20268619514853,1.15989183225114e-10,"strep_exposureY",1.10468001539333e-07,12,7,22.8775241772294,2.32931103181893
"6","PWY.4041...gamma..glutamyl.cycle.g","Streptococcus","Streptococcus_salivarius","strep_exposure","Y",5.24015872232169,0.229614411262672,5.88554837081637e-10,"strep_exposureY",2.13939683279175e-07,12,7,21.253351012462,2.02806291576118
"7","PWY.5667..CDP.diacylglycerol.biosynthesis.I.g","Streptococcus","Streptococcus_pneumoniae","strep_exposure","Y",4.00475721841303,0.187318834595972,1.11703890975348e-09,"strep_exposureY",3.04532732771542e-07,12,7,20.6125844833089,1.90921492964274
"8","PWY0.1319..CDP.diacylglycerol.biosynthesis.II.g","Streptococcus","Streptococcus_pneumoniae","strep_exposure","Y",4.00475721841303,0.187318834595972,1.11703890975348e-09,"strep_exposureY",3.04532732771542e-07,12,7,20.6125844833089,1.90921492964274
"9","HSERMETANA.PWY..L.methionine.biosynthesis.III.g","Streptococcus","Streptococcus_pneumoniae","strep_exposure","Y",4.77962222747659,0.234937074717535,1.81615315407394e-09,"strep_exposureY",4.01477829987586e-07,12,7,20.1265452243796,1.81906542202941
"10","PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate.g","Streptococcus","Streptococcus_pneumoniae","strep_exposure","Y",4.31609182945929,0.212445219924932,1.84079701965881e-09,"strep_exposureY",4.01477829987586e-07,12,7,20.1130671962554,1.81656554660439
"11","PWY.7851..coenzyme.A.biosynthesis.II..eukaryotic..g","Streptococcus","Streptococcus_equinus","strep_exposure","Y",1.2190703147154,0.0615331638801185,2.35406993349858e-09,"strep_exposureY",4.66747865905491e-07,12,6,19.8671201201815,1.77094781634974
"12","PWY0.1296..purine.ribonucleosides.degradation.g","Streptococcus","Streptococcus_salivarius","strep_exposure","Y",5.49171114579818,0.279729872650957,2.57287112364257e-09,"strep_exposureY",4.67619326722037e-07,12,8,19.7782433928754,1.75446315372686
"13","P41.PWY..pyruvate.fermentation.to.acetate.and..S..lactate.I.g","Streptococcus","Streptococcus_equinus","strep_exposure","Y",5.12186550487934,0.283636829357913,5.81177383581849e-09,"strep_exposureY",6.93588797050383e-07,12,8,18.9633800053096,1.60332405989521
"14","PWY.5100..pyruvate.fermentation.to.acetate.and.lactate.II.g","Streptococcus","Streptococcus_equinus","strep_exposure","Y",5.12186550487934,0.283636829357913,5.81177383581849e-09,"strep_exposureY",6.93588797050383e-07,12,8,18.9633800053096,1.60332405989521
"15","PWY.5667..CDP.diacylglycerol.biosynthesis.I.g","Streptococcus","Streptococcus_salivarius","strep_exposure","Y",4.04688477838884,0.22114522567933,5.10608121178258e-09,"strep_exposureY",6.93588797050383e-07,12,7,19.0928336130866,1.62733483430379
"16","PWY.6151..S.adenosyl.L.methionine.salvage.I.g","Streptococcus","Streptococcus_pneumoniae","strep_exposure","Y",3.7331520710017,0.204037602131726,5.11499296792802e-09,"strep_exposureY",6.93588797050383e-07,12,7,19.0910898123379,1.62701139792291
"17","PWY.I9..L.cysteine.biosynthesis.VI..from.L.methionine..g","Streptococcus","Streptococcus_pneumoniae","strep_exposure","Y",3.82956713066602,0.205209125522241,4.21900814549886e-09,"strep_exposureY",6.93588797050383e-07,12,7,19.2836657731356,1.66272996946859
"18","PWY0.1319..CDP.diacylglycerol.biosynthesis.II.g","Streptococcus","Streptococcus_salivarius","strep_exposure","Y",4.04688477838884,0.22114522567933,5.10608121178258e-09,"strep_exposureY",6.93588797050383e-07,12,7,19.0928336130866,1.62733483430379
"19","PWY4FS.7..phosphatidylglycerol.biosynthesis.I..plastidic..g","Streptococcus","Streptococcus_pneumoniae","strep_exposure","Y",1.3784198212791,0.0770448509243399,6.36028241219975e-09,"strep_exposureY",6.93588797050383e-07,12,6,18.8731930561463,1.58659638016389
"20","PWY4FS.8..phosphatidylglycerol.biosynthesis.II..non.plastidic..g","Streptococcus","Streptococcus_pneumoniae","strep_exposure","Y",1.3784198212791,0.0770448509243399,6.36028241219975e-09,"strep_exposureY",6.93588797050383e-07,12,6,18.8731930561463,1.58659638016389
"21","PWY.6936..seleno.amino.acid.biosynthesis..plants..g","Streptococcus","Streptococcus_equinus","strep_exposure","Y",4.47353091306207,0.251852820907063,6.82247954183643e-09,"strep_exposureY",7.08563232416441e-07,12,8,18.8030428619821,1.57358507429362
"22","VALSYN.PWY..L.valine.biosynthesis.g","Streptococcus","Streptococcus_salivarius","strep_exposure","Y",5.51233728118299,0.319703696054772,9.1065061070038e-09,"strep_exposureY",9.02785900880695e-07,12,8,18.5142767220699,1.52002535694521
"23","PWY.621..sucrose.degradation.III..sucrose.invertase..g","Streptococcus","Streptococcus_equinus","strep_exposure","Y",4.19157503237852,0.244465690989921,9.61415257167847e-09,"strep_exposureY",9.1167246777525e-07,12,7,18.4600295978608,1.50996371799929
"24","PWY.702..L.methionine.biosynthesis.II.g","Streptococcus","Streptococcus_salivarius","strep_exposure","Y",4.75141074387923,0.28105694787409,1.10241903725654e-08,"strep_exposureY",1.00182330010688e-06,12,7,18.323173853905,1.48458001142619
"25","PWY0.1586..peptidoglycan.maturation..meso.diaminopimelate.containing..g","Streptococcus","Streptococcus_equinus","strep_exposure","Y",5.55968736827064,0.340138766407252,1.52756246394354e-08,"strep_exposureY",1.28138989763879e-06,12,7,17.9970074397995,1.42408337233495
"26","VALSYN.PWY..L.valine.biosynthesis.g","Streptococcus","Streptococcus_pneumoniae","strep_exposure","Y",4.49367145979913,0.27464049333248,1.51258631651026e-08,"strep_exposureY",1.28138989763879e-06,12,8,18.0068597658907,1.42591076041042
"27","PWY.6123..inosine.5..phosphate.biosynthesis.I.g","Streptococcus","Streptococcus_equinus","strep_exposure","Y",4.15221190890316,0.257049884534664,1.71239062143645e-08,"strep_exposureY",1.38323109087145e-06,12,8,17.882790325532,1.40289862969727
"28","PWY.822..fructan.biosynthesis.g","Streptococcus","Streptococcus_equinus","strep_exposure","Y",4.23049489225308,0.267716970420548,2.11724030235595e-08,"strep_exposureY",1.63361424731997e-06,12,9,17.6705672474451,1.36353595344791
"29","PWY0.1586..peptidoglycan.maturation..meso.diaminopimelate.containing..g","Streptococcus","Streptococcus_salivarius","strep_exposure","Y",5.82525164535121,0.369617399018523,2.17216016379088e-08,"strep_exposureY",1.63361424731997e-06,12,8,17.6449586043641,1.35878611786985
"30","PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis.g","Streptococcus","Streptococcus_vestibularis","strep_exposure","Y",4.22406376206642,0.272241467281803,2.52526887371401e-08,"strep_exposureY",1.83587047119009e-06,12,7,17.4943332022549,1.33084844496639
"31","PWY.5695..inosine.5..phosphate.degradation.g","Streptococcus","Streptococcus_salivarius","strep_exposure","Y",1.36627684599395,0.0891883741402886,2.85569232195231e-08,"strep_exposureY",2.00911772715419e-06,12,6,17.3713664356872,1.30804083579651
"32","PWY0.1297..superpathway.of.purine.deoxyribonucleosides.degradation.g","Streptococcus","Streptococcus_salivarius","strep_exposure","Y",4.76200812713497,0.317946584037209,3.54735305910693e-08,"strep_exposureY",2.41774281934757e-06,12,7,17.1544790357287,1.26781303124248
"33","PWY.6124..inosine.5..phosphate.biosynthesis.II.g","Streptococcus","Streptococcus_equinus","strep_exposure","Y",4.31321179598959,0.289972757734563,3.79008766274321e-08,"strep_exposureY",2.50490339164938e-06,12,8,17.0882915951141,1.25553672830609
