feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY.5695..inosine.5..phosphate.degradation.g__Streptococcus.s__Streptococcus_salivarius	strep_exposure	Y	6.82371312618658	0.235557275480869	12	7	5.60114242295474e-11	4.05153748717124e-08
PWY.6123..inosine.5..phosphate.biosynthesis.I.g__Streptococcus.s__Streptococcus_vestibularis	strep_exposure	Y	6.03623809593999	0.213297627193329	12	7	7.05658811908873e-11	4.05153748717124e-08
PWY.7238..sucrose.biosynthesis.II.g__Streptococcus.s__Streptococcus_salivarius	strep_exposure	Y	5.65638293623223	0.19145602451179	12	7	4.61026855692248e-11	4.05153748717124e-08
PWY0.1296..purine.ribonucleosides.degradation.g__Streptococcus.s__Streptococcus_salivarius	strep_exposure	Y	7.18533809522518	0.252471044341323	12	7	6.67295033956824e-11	4.05153748717124e-08
PWY66.429..fatty.acid.biosynthesis.initiation..mitochondria..g__Streptococcus.s__Streptococcus_equinus	strep_exposure	Y	6.83484865261731	0.243248976707679	12	7	7.57296726574063e-11	4.05153748717124e-08
PWY.6124..inosine.5..phosphate.biosynthesis.II.g__Streptococcus.s__Streptococcus_equinus	strep_exposure	Y	5.57018038474637	0.220668720896006	12	7	2.18180360507598e-10	7.35864857716571e-08
PWY.621..sucrose.degradation.III..sucrose.invertase..g__Streptococcus.s__Streptococcus_equinus	strep_exposure	Y	5.8964428311119	0.232443987889894	12	7	2.07818829968213e-10	7.35864857716571e-08
PWY.6936..seleno.amino.acid.biosynthesis..plants..g__Streptococcus.s__Streptococcus_equinus	strep_exposure	Y	4.71663004247313	0.187018075422003	12	7	2.20071733148881e-10	7.35864857716571e-08
BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.chain.amino.acid.biosynthesis.g__Streptococcus.s__Streptococcus_equinus	strep_exposure	Y	4.75305126017241	0.204519447215371	12	7	4.92266498991784e-10	1.02221998307788e-07
GLUTORN.PWY..L.ornithine.biosynthesis.I.g__Streptococcus.s__Streptococcus_salivarius	strep_exposure	Y	5.15409199376248	0.224995855469653	12	7	5.67210636958403e-10	1.02221998307788e-07
PWY.5103..L.isoleucine.biosynthesis.III.g__Streptococcus.s__Streptococcus_equinus	strep_exposure	Y	4.66033866211326	0.203112551509808	12	7	5.58256823112493e-10	1.02221998307788e-07
PWY.6609..adenine.and.adenosine.salvage.III.g__Streptococcus.s__Streptococcus_equinus	strep_exposure	Y	4.0562955860929	0.177863925877608	12	7	5.92611736258978e-10	1.02221998307788e-07
