name,genus,species,strain,size
NisA,L.,lactis,61-14,3354
NisZ,L.,lactis,NIZO 221 86,3331
NisF,L.,lactis,F10,3315
NisQ,L.,lactis,61-14,3327
NisG,S.,salivarius,DPC6487,3405
NisH,S.,hyointestinalis,DPC6484,3453
NisJ,S.,capitis,APC2923,3458
NisU,S.,uberis,42,3029
NisU2,S.,uberis,D536,3015
NisP,S.,agalactiae,DPC7040,2989
NisO1-3,B.,obeum,A2-162,3546
NisO4,B.,obeum,A2-162,3259
SalD,S.,salivarius,5M6c,3468
NisE,S.,equinus,MDC1,3101
NisS,L.,salivarius,P1CEA3,3347
KunA,A.,kunkeei,FF30-6,4218
